read_length,count
10,150
65,237
86,351
238,179383
237,186586
68,252
110,613
102,521
100,396
31,95
78,321
113,677
126,663
143,903
236,185019
9,68
105,502
119,676
199,2755
225,1195
23,94
14,64
107,594
109,541
174,1565
70,270
235,197184
33,127
58,170
164,1427
196,2280
20,87
82,246
194,2178
165,1390
149,1038
12,60
192,1912
75,327
176,1554
206,2197
184,1368
87,365
21,54
72,257
191,1649
62,156
163,1373
131,702
125,934
13,42
162,1609
186,1721
213,2516
45,167
79,376
50,114
156,1197
190,1786
99,509
151,1283
76,320
103,447
204,2049
25,60
48,178
150,1121
166,1547
91,336
30,133
49,152
60,218
51,155
179,1842
18,82
40,114
16,120
27,87
67,238
215,2716
35,89
111,599
94,458
167,1210
104,569
136,905
116,533
127,796
130,711
180,1898
85,376
26,76
74,268
15,42
221,3107
193,1924
153,1097
52,136
55,226
95,497
19,50
92,445
112,585
38,113
160,1200
11,34
73,262
157,1179
56,185
128,847
208,1613
32,53
177,1988
118,813
84,356
22,95
145,809
124,889
182,2063
139,685
47,138
36,109
144,1204
93,375
96,420
54,187
207,2230
133,959
63,183
80,350
185,1726
210,3117
101,415
77,190
89,412
217,2756
148,1233
61,209
117,596
214,3061
34,116
46,124
108,594
152,1265
220,2536
169,1482
161,1520
64,216
140,944
159,1208
115,659
120,634
37,106
201,2122
188,1879
137,848
155,1106
178,1471
141,1164
181,2251
97,446
66,210
132,1099
216,2260
83,360
24,61
129,804
69,234
189,2273
187,2007
114,659
197,2248
171,1578
88,368
106,491
142,1096
134,862
57,198
90,443
211,2103
168,1656
198,2069
71,185
98,453
154,1316
53,137
170,1672
212,2686
222,2791
138,1140
158,1417
42,81
224,1293
205,2988
195,1989
219,1993
81,270
147,1330
122,792
121,619
203,2774
218,2724
209,2629
29,83
59,186
43,142
146,874
135,924
175,1758
28,87
202,1922
172,1845
183,1986
17,71
123,600
39,132
41,153
200,1875
226,766
44,112
223,2498
173,1135
