,observed,expected,o_minus_e
0,229,217,12
1,229,217,12
2,229,217,12
3,229,217,12
4,229,217,12
5,229,217,12
6,227,220,7
7,227,220,7
8,227,220,7
9,227,220,7
10,227,220,7
11,227,220,7
12,227,220,7
13,227,220,7
14,227,220,7
15,227,220,7
16,227,220,7
17,227,220,7
18,227,220,7
19,227,220,7
20,227,220,7
21,227,220,7
22,227,220,7
23,227,220,7
24,227,220,7
25,227,220,7
26,227,220,7
27,227,220,7
28,227,220,7
29,227,220,7
30,227,220,7
31,227,220,7
32,227,220,7
33,227,220,7
34,227,220,7
35,227,220,7
36,227,220,7
37,227,220,7
38,227,220,7
39,227,220,7
40,227,220,7
41,227,220,7
42,227,220,7
43,227,220,7
44,227,220,7
45,227,220,7
46,227,220,7
47,227,220,7
48,227,220,7
49,227,220,7
50,227,220,7
51,227,220,7
52,227,220,7
53,227,220,7
54,227,220,7
55,227,220,7
56,227,220,7
57,227,220,7
58,227,220,7
59,227,220,7
60,227,220,7
61,227,220,7
62,227,220,7
63,227,220,7
64,227,220,7
65,227,220,7
66,227,220,7
67,227,220,7
68,227,220,7
69,227,220,7
70,227,228,1
71,227,228,1
72,227,228,1
73,227,228,1
74,227,228,1
75,227,228,1
76,227,228,1
77,227,228,1
78,227,228,1
79,227,228,1
80,227,228,1
81,227,228,1
82,227,228,1
83,227,228,1
84,227,228,1
85,227,228,1
86,227,228,1
87,227,228,1
88,227,228,1
89,227,228,1
90,227,228,1
91,227,228,1
92,227,228,1
93,227,228,1
94,227,228,1
95,227,228,1
96,227,228,1
97,227,228,1
98,227,228,1
99,227,228,1
100,227,228,1
101,227,228,1
102,227,228,1
103,227,228,1
104,227,228,1
105,227,228,1
106,227,228,1
107,227,228,1
108,227,228,1
109,227,228,1
110,227,228,1
111,227,228,1
112,227,228,1
113,227,228,1
114,227,228,1
115,227,228,1
116,227,228,1
117,227,228,1
118,227,228,1
119,227,228,1
120,227,228,1
121,227,228,1
122,227,228,1
123,227,228,1
124,227,228,1
125,227,228,1
126,227,228,1
127,227,228,1
128,227,228,1
129,227,228,1
130,227,228,1
131,227,228,1
132,227,228,1
133,227,228,1
134,227,228,1
135,227,228,1
136,227,228,1
137,227,228,1
138,227,228,1
139,227,228,1
140,227,228,1
141,227,228,1
142,230,225,5
143,230,225,5
144,230,225,5
145,230,225,5
146,230,225,5
147,230,225,5
148,230,225,5
149,230,225,5
150,230,225,5
151,230,225,5
152,230,225,5
153,230,225,5
154,230,225,5
155,230,225,5
156,230,225,5
157,230,225,5
158,230,225,5
159,230,225,5
160,230,225,5
161,230,225,5
162,230,225,5
163,230,225,5
164,230,225,5
165,230,225,5
166,230,225,5
167,230,225,5
168,230,225,5
169,230,225,5
170,230,225,5
171,230,225,5
172,230,225,5
173,230,225,5
174,230,225,5
175,230,225,5
176,230,225,5
177,230,225,5
178,230,225,5
179,230,225,5
180,230,225,5
181,230,225,5
182,230,225,5
183,230,225,5
184,230,225,5
185,230,225,5
186,230,225,5
187,230,225,5
188,230,225,5
189,230,225,5
190,230,225,5
191,230,225,5
192,230,225,5
193,230,225,5
194,230,225,5
195,230,225,5
196,230,225,5
197,230,225,5
198,230,225,5
199,230,225,5
200,230,225,5
201,230,225,5
202,230,225,5
203,230,225,5
204,230,225,5
205,230,225,5
206,230,225,5
207,230,225,5
208,230,225,5
209,230,225,5
210,230,225,5
211,230,225,5
212,230,225,5
213,230,225,5
214,230,225,5
215,230,225,5
216,230,225,5
217,230,225,5
218,230,225,5
219,230,225,5
220,230,225,5
221,230,225,5
222,230,225,5
223,230,225,5
224,230,225,5
225,230,225,5
226,230,225,5
227,230,225,5
228,229,213,16
229,229,213,16
230,229,213,16
231,229,228,1
232,229,228,1
233,229,228,1
234,229,228,1
235,229,228,1
236,229,228,1
237,229,228,1
238,229,228,1
239,229,228,1
240,229,228,1
241,229,228,1
242,229,228,1
243,229,228,1
244,229,228,1
245,229,228,1
246,229,228,1
247,229,228,1
248,229,228,1
249,229,228,1
250,229,228,1
251,229,228,1
252,229,228,1
253,229,228,1
254,229,228,1
255,229,228,1
256,229,228,1
257,229,228,1
258,229,228,1
259,229,228,1
260,229,228,1
261,229,228,1
262,229,228,1
263,229,228,1
264,229,228,1
265,229,228,1
266,229,228,1
267,229,228,1
268,229,228,1
269,229,228,1
270,229,228,1
271,229,228,1
272,229,228,1
273,229,228,1
274,229,228,1
275,229,228,1
276,229,228,1
277,229,228,1
278,229,228,1
279,229,228,1
280,229,228,1
281,229,228,1
282,229,228,1
283,229,228,1
284,229,228,1
285,229,228,1
286,229,228,1
287,229,228,1
288,229,228,1
289,229,228,1
290,229,228,1
291,229,228,1
292,229,228,1
293,229,228,1
294,229,228,1
295,229,228,1
296,229,228,1
297,229,228,1
298,229,228,1
299,229,228,1
300,229,228,1
301,229,228,1
302,229,228,1
303,229,228,1
304,229,228,1
305,229,228,1
306,230,222,8
307,230,222,8
308,230,222,8
309,230,222,8
310,230,222,8
311,230,222,8
312,230,222,8
313,230,222,8
314,230,222,8
315,230,222,8
316,230,222,8
317,230,222,8
318,230,222,8
319,230,222,8
320,230,222,8
321,230,222,8
322,230,222,8
323,230,222,8
324,230,222,8
325,230,222,8
326,230,222,8
327,230,222,8
328,230,222,8
329,230,222,8
330,230,222,8
331,230,222,8
332,230,222,8
333,230,222,8
334,230,222,8
335,230,222,8
336,230,222,8
337,230,222,8
338,230,222,8
339,230,222,8
340,230,222,8
341,230,222,8
342,230,222,8
343,230,222,8
344,230,222,8
345,230,222,8
346,230,222,8
347,230,222,8
348,230,222,8
349,230,222,8
350,230,222,8
351,230,222,8
352,230,222,8
353,230,222,8
354,230,222,8
355,230,222,8
356,230,222,8
357,230,222,8
358,230,222,8
359,230,222,8
360,230,222,8
361,228,205,23
362,228,229,1
363,228,229,1
364,228,229,1
365,228,229,1
366,228,229,1
367,228,229,1
368,228,229,1
369,228,229,1
370,228,229,1
371,228,229,1
372,228,229,1
373,228,229,1
374,228,229,1
375,228,229,1
376,228,229,1
377,228,229,1
378,228,229,1
379,228,229,1
380,228,229,1
381,228,229,1
382,228,229,1
383,228,229,1
384,228,229,1
385,228,229,1
386,228,229,1
387,228,229,1
388,228,229,1
389,228,229,1
390,228,229,1
391,228,229,1
392,228,229,1
393,228,229,1
394,228,229,1
395,228,229,1
396,228,229,1
397,228,229,1
398,228,229,1
399,228,229,1
400,228,229,1
401,228,229,1
402,228,229,1
403,228,229,1
404,228,229,1
405,228,229,1
406,228,229,1
407,228,229,1
408,228,229,1
409,228,229,1
410,228,229,1
411,228,229,1
412,228,229,1
413,228,229,1
414,228,229,1
415,228,229,1
416,228,229,1
417,228,229,1
418,228,229,1
419,228,229,1
420,228,229,1
421,228,229,1
422,228,229,1
423,228,229,1
424,228,229,1
425,228,229,1
426,228,229,1
427,228,229,1
428,228,229,1
429,228,229,1
430,228,229,1
431,228,229,1
432,228,229,1
433,228,229,1
434,228,229,1
435,228,229,1
436,228,229,1
437,228,229,1
438,228,229,1
439,228,229,1
440,228,229,1
441,228,229,1
442,228,229,1
443,228,229,1
444,228,229,1
445,228,229,1
446,228,229,1
447,227,212,15
448,227,212,15
449,227,212,15
450,227,212,15
451,227,212,15
452,227,228,1
453,227,228,1
454,227,228,1
455,227,228,1
456,227,228,1
457,227,228,1
458,227,228,1
459,227,228,1
460,227,228,1
461,227,228,1
462,227,228,1
463,227,228,1
464,227,228,1
465,227,228,1
466,227,228,1
467,227,228,1
468,227,228,1
469,227,228,1
470,227,228,1
471,227,228,1
472,227,228,1
473,227,228,1
474,227,228,1
475,227,228,1
476,227,228,1
477,227,228,1
478,227,228,1
479,227,228,1
480,227,228,1
481,227,228,1
482,227,228,1
483,227,228,1
484,227,228,1
485,227,228,1
486,227,228,1
487,227,228,1
488,227,228,1
489,227,228,1
490,227,228,1
491,227,228,1
492,227,228,1
493,227,228,1
494,227,228,1
495,227,228,1
496,227,228,1
497,227,228,1
498,227,228,1
499,227,228,1
500,227,228,1
501,227,228,1
502,227,228,1
503,227,228,1
504,227,228,1
505,227,228,1
506,227,228,1
507,227,228,1
508,227,228,1
509,227,228,1
510,227,228,1
511,227,228,1
512,227,228,1
513,227,228,1
514,227,228,1
515,227,228,1
516,227,228,1
517,227,228,1
518,227,228,1
519,227,228,1
520,227,228,1
521,227,228,1
522,227,228,1
523,227,228,1
524,227,228,1
525,227,228,1
526,227,228,1
527,227,228,1
528,227,228,1
529,227,228,1
530,227,228,1
531,227,228,1
532,227,228,1
533,227,228,1
534,227,228,1
535,227,228,1
536,227,228,1
537,227,228,1
538,227,228,1
539,227,228,1
540,227,228,1
541,227,228,1
542,227,228,1
543,227,228,1
544,227,228,1
545,227,228,1
546,227,228,1
547,227,209,18
548,228,209,19
549,228,209,19
550,228,209,19
551,228,209,19
552,228,213,15
553,228,213,15
554,230,225,5
555,230,225,5
556,230,225,5
557,230,225,5
558,230,225,5
559,230,225,5
560,230,225,5
561,230,225,5
562,230,225,5
563,230,225,5
564,230,225,5
565,230,225,5
566,230,225,5
567,230,225,5
568,230,225,5
569,230,225,5
570,230,225,5
571,230,225,5
572,230,225,5
573,230,225,5
574,230,225,5
575,230,225,5
576,230,225,5
577,230,225,5
578,230,225,5
579,230,225,5
580,230,225,5
581,230,225,5
582,230,225,5
583,230,225,5
584,230,225,5
585,230,225,5
586,230,225,5
587,230,225,5
588,230,225,5
589,230,225,5
590,230,225,5
591,230,225,5
592,230,225,5
593,230,225,5
594,230,225,5
595,230,225,5
596,230,225,5
597,230,225,5
598,230,225,5
599,230,225,5
600,230,225,5
601,230,225,5
602,230,225,5
603,230,225,5
604,230,225,5
605,230,225,5
606,230,225,5
607,230,225,5
608,230,225,5
609,230,225,5
610,230,225,5
611,230,225,5
612,230,225,5
613,230,225,5
614,230,225,5
615,230,225,5
616,230,225,5
617,230,225,5
618,230,225,5
619,230,225,5
620,230,225,5
621,230,225,5
622,230,225,5
623,230,225,5
624,230,225,5
625,230,225,5
626,230,225,5
627,230,225,5
628,230,225,5
629,230,225,5
630,230,225,5
631,230,225,5
632,230,225,5
633,230,168,62
634,227,222,5
635,227,222,5
636,227,222,5
637,227,222,5
638,227,222,5
639,227,222,5
640,227,222,5
641,227,222,5
642,227,222,5
643,227,222,5
644,227,222,5
645,227,222,5
646,227,222,5
647,227,222,5
648,227,222,5
649,227,222,5
650,227,222,5
651,227,222,5
652,227,222,5
653,227,222,5
654,227,222,5
655,227,222,5
656,227,222,5
657,227,222,5
658,227,222,5
659,227,222,5
660,227,222,5
661,227,222,5
662,227,222,5
663,227,222,5
664,227,222,5
665,227,222,5
666,227,222,5
667,227,222,5
668,227,222,5
669,227,222,5
670,227,222,5
671,227,222,5
672,227,222,5
673,227,222,5
674,227,222,5
675,227,222,5
676,227,222,5
677,227,222,5
678,227,222,5
679,227,222,5
680,227,222,5
681,227,222,5
682,227,222,5
683,227,222,5
684,227,222,5
685,227,222,5
686,227,222,5
687,227,222,5
688,227,222,5
689,227,222,5
690,227,222,5
691,227,222,5
692,227,222,5
693,227,222,5
694,227,222,5
695,227,222,5
696,227,222,5
697,227,222,5
698,227,222,5
699,227,222,5
700,227,222,5
701,227,222,5
702,227,222,5
703,227,222,5
704,227,222,5
705,227,222,5
706,227,222,5
707,227,222,5
708,227,222,5
709,228,217,11
710,228,217,11
711,228,217,11
712,228,217,11
713,228,217,11
714,228,217,11
715,228,217,11
716,228,217,11
717,228,217,11
718,228,217,11
719,228,217,11
720,228,217,11
721,228,217,11
722,228,217,11
723,228,217,11
724,228,217,11
725,228,217,11
726,228,217,11
727,228,217,11
728,228,217,11
729,228,217,11
730,228,217,11
731,228,217,11
732,228,217,11
733,228,217,11
734,228,217,11
735,228,217,11
736,228,217,11
737,228,217,11
738,228,217,11
739,228,217,11
740,228,217,11
741,228,217,11
742,228,217,11
743,228,217,11
744,228,217,11
745,228,217,11
746,228,217,11
747,228,217,11
748,228,217,11
749,228,217,11
750,228,217,11
751,228,217,11
752,228,217,11
753,228,217,11
754,228,217,11
755,228,217,11
756,228,217,11
757,228,217,11
758,228,217,11
759,228,217,11
760,228,217,11
761,228,217,11
762,228,217,11
763,228,217,11
764,228,217,11
765,228,217,11
766,228,217,11
767,228,217,11
768,228,217,11
769,228,217,11
770,228,217,11
771,228,217,11
772,230,228,2
773,230,228,2
774,230,228,2
775,230,228,2
776,230,228,2
777,230,228,2
778,230,228,2
779,230,228,2
780,230,228,2
781,230,228,2
782,230,228,2
783,230,228,2
784,230,228,2
785,230,228,2
786,230,228,2
787,230,228,2
788,230,228,2
789,230,228,2
790,230,228,2
