read_id,observed,expected,read_len,o_minus_e,contaminated,missed_id,false_id
870742,208,408,226,-18,0,0,1
996019,210,577,227,-17,0,0,1
696955,210,348,227,-17,0,0,1
381026,210,266,226,-16,0,0,1
877561,212,412,228,-16,0,0,1
877547,212,412,228,-16,0,0,1
877517,212,412,228,-16,0,0,1
403036,211,271,226,-15,0,0,1
977561,215,502,229,-14,0,0,1
775893,213,372,227,-14,0,0,1
305130,215,247,229,-14,0,0,1
354483,213,258,227,-14,0,0,1
262081,212,230,226,-14,0,0,1
429014,215,279,229,-14,0,0,1
960815,213,472,226,-13,0,0,1
738406,215,361,227,-12,0,0,1
738404,215,361,227,-12,0,0,1
622451,214,327,226,-12,0,0,1
738418,215,361,227,-12,0,0,1
738420,215,361,227,-12,0,0,1
738397,215,361,227,-12,0,0,1
738408,215,361,227,-12,0,0,1
738396,215,361,227,-12,0,0,1
738372,215,361,227,-12,0,0,1
738391,215,361,227,-12,0,0,1
738387,215,361,227,-12,0,0,1
738385,215,361,227,-12,0,0,1
738377,215,361,227,-12,0,0,1
738376,215,361,227,-12,0,0,1
738424,215,361,227,-12,0,0,1
738361,215,361,227,-12,0,0,1
738356,215,361,227,-12,0,0,1
738395,215,361,227,-12,0,0,1
738439,215,361,227,-12,0,0,1
954517,217,466,229,-12,0,0,1
738450,215,361,227,-12,0,0,1
954593,217,466,229,-12,0,0,1
954590,217,466,229,-12,0,0,1
954587,217,466,229,-12,0,0,1
954583,217,466,229,-12,0,0,1
954559,217,466,229,-12,0,0,1
954558,217,466,229,-12,0,0,1
954546,217,466,229,-12,0,0,1
954542,217,466,229,-12,0,0,1
954540,217,466,229,-12,0,0,1
954538,217,466,229,-12,0,0,1
954534,217,466,229,-12,0,0,1
954529,217,466,229,-12,0,0,1
954526,217,466,229,-12,0,0,1
954519,217,466,229,-12,0,0,1
954518,217,466,229,-12,0,0,1
738351,215,361,227,-12,0,0,1
738426,215,361,227,-12,0,0,1
738456,215,361,227,-12,0,0,1
738453,215,361,227,-12,0,0,1
738448,215,361,227,-12,0,0,1
738346,215,361,227,-12,0,0,1
622436,214,327,226,-12,0,0,1
622418,214,327,226,-12,0,0,1
622541,214,327,226,-12,0,0,1
622543,214,327,226,-12,0,0,1
622553,214,327,226,-12,0,0,1
622554,214,327,226,-12,0,0,1
622557,214,327,226,-12,0,0,1
622561,214,327,226,-12,0,0,1
622431,214,327,226,-12,0,0,1
622443,214,327,226,-12,0,0,1
622444,214,327,226,-12,0,0,1
738336,215,361,227,-12,0,0,1
738334,215,361,227,-12,0,0,1
738330,215,361,227,-12,0,0,1
738327,215,361,227,-12,0,0,1
738324,215,361,227,-12,0,0,1
738320,215,361,227,-12,0,0,1
738319,215,361,227,-12,0,0,1
603673,214,320,226,-12,0,0,1
946178,214,456,226,-12,0,0,1
579447,214,316,226,-12,0,0,1
622534,214,327,226,-12,0,0,1
622533,214,327,226,-12,0,0,1
622532,214,327,226,-12,0,0,1
622531,214,327,226,-12,0,0,1
622426,214,327,226,-12,0,0,1
622427,214,327,226,-12,0,0,1
622433,214,327,226,-12,0,0,1
954594,217,466,229,-12,0,0,1
622442,214,327,226,-12,0,0,1
622450,214,327,226,-12,0,0,1
738339,215,361,227,-12,0,0,1
622458,214,327,226,-12,0,0,1
622460,214,327,226,-12,0,0,1
622415,214,327,226,-12,0,0,1
622474,214,327,226,-12,0,0,1
622484,214,327,226,-12,0,0,1
622490,214,327,226,-12,0,0,1
622499,214,327,226,-12,0,0,1
622503,214,327,226,-12,0,0,1
622509,214,327,226,-12,0,0,1
622514,214,327,226,-12,0,0,1
622516,214,327,226,-12,0,0,1
622526,214,327,226,-12,0,0,1
622528,214,327,226,-12,0,0,1
622479,214,327,226,-12,0,0,1
954573,217,466,229,-12,0,0,1
622500,214,327,226,-12,0,0,1
560299,216,311,228,-12,0,0,1
317376,216,248,228,-12,0,0,1
237797,226,225,226,1,1,1,0
237798,226,225,226,1,1,1,0
237799,226,225,226,1,1,1,0
246459,227,226,227,1,1,1,0
237800,226,225,226,1,1,1,0
237801,226,225,226,1,1,1,0
237802,226,225,226,1,1,1,0
237803,226,225,226,1,1,1,0
237804,226,225,226,1,1,1,0
237805,226,225,226,1,1,1,0
237806,226,225,226,1,1,1,0
237807,226,225,226,1,1,1,0
237796,226,225,226,1,1,1,0
238256,227,226,227,1,1,1,0
237809,226,225,226,1,1,1,0
237810,226,225,226,1,1,1,0
237811,226,225,226,1,1,1,0
237812,226,225,226,1,1,1,0
237813,226,225,226,1,1,1,0
237814,226,225,226,1,1,1,0
237815,226,225,226,1,1,1,0
237816,226,225,226,1,1,1,0
246460,227,226,227,1,1,1,0
246462,227,226,227,1,1,1,0
237817,226,225,226,1,1,1,0
237818,226,225,226,1,1,1,0
237819,226,225,226,1,1,1,0
237808,226,225,226,1,1,1,0
237795,226,225,226,1,1,1,0
237793,226,225,226,1,1,1,0
237792,226,225,226,1,1,1,0
238297,227,226,227,1,1,1,0
238298,227,226,227,1,1,1,0
238299,227,226,227,1,1,1,0
238300,227,226,227,1,1,1,0
238301,227,226,227,1,1,1,0
238302,227,226,227,1,1,1,0
238303,227,226,227,1,1,1,0
238304,227,226,227,1,1,1,0
237770,226,225,226,1,1,1,0
237772,226,225,226,1,1,1,0
237773,226,225,226,1,1,1,0
237774,226,225,226,1,1,1,0
237775,226,225,226,1,1,1,0
237776,226,225,226,1,1,1,0
237777,226,225,226,1,1,1,0
237778,226,225,226,1,1,1,0
237779,226,225,226,1,1,1,0
246455,227,226,227,1,1,1,0
246456,227,226,227,1,1,1,0
237781,226,225,226,1,1,1,0
237782,226,225,226,1,1,1,0
237784,226,225,226,1,1,1,0
237786,226,225,226,1,1,1,0
237787,226,225,226,1,1,1,0
237788,226,225,226,1,1,1,0
237789,226,225,226,1,1,1,0
246458,227,226,227,1,1,1,0
237790,226,225,226,1,1,1,0
237791,226,225,226,1,1,1,0
237820,226,225,226,1,1,1,0
237821,226,225,226,1,1,1,0
237822,226,225,226,1,1,1,0
237823,226,225,226,1,1,1,0
237832,226,225,226,1,1,1,0
237845,226,225,226,1,1,1,0
246323,229,228,229,1,1,1,0
246322,229,228,229,1,1,1,0
246321,229,228,229,1,1,1,0
246320,229,228,229,1,1,1,0
246319,229,228,229,1,1,1,0
246318,229,228,229,1,1,1,0
246317,229,228,229,1,1,1,0
246316,229,228,229,1,1,1,0
246315,229,228,229,1,1,1,0
246314,229,228,229,1,1,1,0
246313,229,228,229,1,1,1,0
237827,226,225,226,1,1,1,0
246310,229,228,229,1,1,1,0
246308,229,228,229,1,1,1,0
246307,229,228,229,1,1,1,0
246306,229,228,229,1,1,1,0
246305,229,228,229,1,1,1,0
246304,229,228,229,1,1,1,0
246303,229,228,229,1,1,1,0
246302,229,228,229,1,1,1,0
246464,227,226,227,1,1,1,0
246465,227,226,227,1,1,1,0
246466,227,226,227,1,1,1,0
246301,229,228,229,1,1,1,0
246300,229,228,229,1,1,1,0
246299,229,228,229,1,1,1,0
246309,229,228,229,1,1,1,0
238296,227,226,227,1,1,1,0
237824,226,225,226,1,1,1,0
237771,226,225,226,1,1,1,0
237825,226,225,226,1,1,1,0
237826,226,225,226,1,1,1,0
237828,226,225,226,1,1,1,0
237829,226,225,226,1,1,1,0
237830,226,225,226,1,1,1,0
237831,226,225,226,1,1,1,0
237833,226,225,226,1,1,1,0
237834,226,225,226,1,1,1,0
237835,226,225,226,1,1,1,0
237836,226,225,226,1,1,1,0
237837,226,225,226,1,1,1,0
237838,226,225,226,1,1,1,0
237839,226,225,226,1,1,1,0
237794,226,225,226,1,1,1,0
237840,226,225,226,1,1,1,0
237842,226,225,226,1,1,1,0
237843,226,225,226,1,1,1,0
237846,226,225,226,1,1,1,0
237847,226,225,226,1,1,1,0
237848,226,225,226,1,1,1,0
237849,226,225,226,1,1,1,0
237850,226,225,226,1,1,1,0
237851,226,225,226,1,1,1,0
237852,226,225,226,1,1,1,0
237853,226,225,226,1,1,1,0
237780,226,225,226,1,1,1,0
246463,227,226,227,1,1,1,0
237844,226,225,226,1,1,1,0
237841,226,225,226,1,1,1,0
246454,227,226,227,1,1,1,0
246453,227,226,227,1,1,1,0
246452,227,226,227,1,1,1,0
238235,227,226,227,1,1,1,0
238234,227,226,227,1,1,1,0
238233,227,226,227,1,1,1,0
238232,227,226,227,1,1,1,0
238231,227,226,227,1,1,1,0
238230,227,226,227,1,1,1,0
238229,227,226,227,1,1,1,0
246324,229,228,229,1,1,1,0
246325,229,228,229,1,1,1,0
111883,179,178,229,1,1,1,0
246326,229,228,229,1,1,1,0
246327,229,228,229,1,1,1,0
246328,229,228,229,1,1,1,0
246329,229,228,229,1,1,1,0
246330,229,228,229,1,1,1,0
246331,229,228,229,1,1,1,0
246332,229,228,229,1,1,1,0
246333,229,228,229,1,1,1,0
246334,229,228,229,1,1,1,0
246335,229,228,229,1,1,1,0
246336,229,228,229,1,1,1,0
246337,229,228,229,1,1,1,0
246338,229,228,229,1,1,1,0
246339,229,228,229,1,1,1,0
246341,229,228,229,1,1,1,0
246342,229,228,229,1,1,1,0
246343,229,228,229,1,1,1,0
238236,227,226,227,1,1,1,0
238270,227,226,227,1,1,1,0
238269,227,226,227,1,1,1,0
238268,227,226,227,1,1,1,0
238257,227,226,227,1,1,1,0
238258,227,226,227,1,1,1,0
238259,227,226,227,1,1,1,0
238260,227,226,227,1,1,1,0
238261,227,226,227,1,1,1,0
238254,227,226,227,1,1,1,0
238253,227,226,227,1,1,1,0
238252,227,226,227,1,1,1,0
238251,227,226,227,1,1,1,0
238250,227,226,227,1,1,1,0
238249,227,226,227,1,1,1,0
238248,227,226,227,1,1,1,0
238247,227,226,227,1,1,1,0
246344,229,228,229,1,1,1,0
238246,227,226,227,1,1,1,0
238244,227,226,227,1,1,1,0
238243,227,226,227,1,1,1,0
238242,227,226,227,1,1,1,0
238241,227,226,227,1,1,1,0
238240,227,226,227,1,1,1,0
238239,227,226,227,1,1,1,0
238238,227,226,227,1,1,1,0
238237,227,226,227,1,1,1,0
238262,227,226,227,1,1,1,0
238263,227,226,227,1,1,1,0
238265,227,226,227,1,1,1,0
238266,227,226,227,1,1,1,0
238267,227,226,227,1,1,1,0
238245,227,226,227,1,1,1,0
246345,229,228,229,1,1,1,0
246346,229,228,229,1,1,1,0
246347,229,228,229,1,1,1,0
246449,227,226,227,1,1,1,0
246450,227,226,227,1,1,1,0
246451,227,226,227,1,1,1,0
238271,227,226,227,1,1,1,0
238272,227,226,227,1,1,1,0
238273,227,226,227,1,1,1,0
238274,227,226,227,1,1,1,0
238275,227,226,227,1,1,1,0
238276,227,226,227,1,1,1,0
238277,227,226,227,1,1,1,0
238278,227,226,227,1,1,1,0
238279,227,226,227,1,1,1,0
238280,227,226,227,1,1,1,0
246447,227,226,227,1,1,1,0
238281,227,226,227,1,1,1,0
238283,227,226,227,1,1,1,0
238284,227,226,227,1,1,1,0
238285,227,226,227,1,1,1,0
238286,227,226,227,1,1,1,0
238287,227,226,227,1,1,1,0
238288,227,226,227,1,1,1,0
238289,227,226,227,1,1,1,0
238290,227,226,227,1,1,1,0
238291,227,226,227,1,1,1,0
238292,227,226,227,1,1,1,0
238293,227,226,227,1,1,1,0
238294,227,226,227,1,1,1,0
238295,227,226,227,1,1,1,0
238282,227,226,227,1,1,1,0
238255,227,226,227,1,1,1,0
246446,227,226,227,1,1,1,0
246444,227,226,227,1,1,1,0
246348,229,228,229,1,1,1,0
246349,229,228,229,1,1,1,0
246350,229,228,229,1,1,1,0
246312,229,228,229,1,1,1,0
246292,229,228,229,1,1,1,0
246293,229,228,229,1,1,1,0
246311,229,228,229,1,1,1,0
246340,229,228,229,1,1,1,0
246425,227,226,227,1,1,1,0
246298,229,228,229,1,1,1,0
246426,227,226,227,1,1,1,0
246427,227,226,227,1,1,1,0
246428,227,226,227,1,1,1,0
246445,227,226,227,1,1,1,0
246429,227,226,227,1,1,1,0
246431,227,226,227,1,1,1,0
246432,227,226,227,1,1,1,0
246433,227,226,227,1,1,1,0
246434,227,226,227,1,1,1,0
246435,227,226,227,1,1,1,0
246436,227,226,227,1,1,1,0
246437,227,226,227,1,1,1,0
246438,227,226,227,1,1,1,0
246439,227,226,227,1,1,1,0
246440,227,226,227,1,1,1,0
246441,227,226,227,1,1,1,0
246442,227,226,227,1,1,1,0
246443,227,226,227,1,1,1,0
246430,227,226,227,1,1,1,0
246297,229,228,229,1,1,1,0
240460,228,227,228,1,1,1,0
246295,229,228,229,1,1,1,0
242756,228,227,228,1,1,1,0
242755,228,227,228,1,1,1,0
242754,228,227,228,1,1,1,0
242753,228,227,228,1,1,1,0
242752,228,227,228,1,1,1,0
242751,228,227,228,1,1,1,0
242757,228,227,228,1,1,1,0
242750,228,227,228,1,1,1,0
242748,228,227,228,1,1,1,0
242747,228,227,228,1,1,1,0
246624,229,228,229,1,1,1,0
246623,229,228,229,1,1,1,0
246622,229,228,229,1,1,1,0
246621,229,228,229,1,1,1,0
242749,228,227,228,1,1,1,0
242758,228,227,228,1,1,1,0
242759,228,227,228,1,1,1,0
242760,228,227,228,1,1,1,0
242775,228,227,228,1,1,1,0
242774,228,227,228,1,1,1,0
242773,228,227,228,1,1,1,0
242772,228,227,228,1,1,1,0
242771,228,227,228,1,1,1,0
242770,228,227,228,1,1,1,0
242769,228,227,228,1,1,1,0
242768,228,227,228,1,1,1,0
242767,228,227,228,1,1,1,0
242766,228,227,228,1,1,1,0
242765,228,227,228,1,1,1,0
242764,228,227,228,1,1,1,0
242763,228,227,228,1,1,1,0
242762,228,227,228,1,1,1,0
242761,228,227,228,1,1,1,0
246620,229,228,229,1,1,1,0
242776,228,227,228,1,1,1,0
246619,229,228,229,1,1,1,0
246617,229,228,229,1,1,1,0
242727,228,227,228,1,1,1,0
242726,228,227,228,1,1,1,0
242725,228,227,228,1,1,1,0
242724,228,227,228,1,1,1,0
242723,228,227,228,1,1,1,0
242722,228,227,228,1,1,1,0
242728,228,227,228,1,1,1,0
242721,228,227,228,1,1,1,0
242719,228,227,228,1,1,1,0
238397,226,225,226,1,1,1,0
244654,229,228,229,1,1,1,0
244655,229,228,229,1,1,1,0
244656,229,228,229,1,1,1,0
244657,229,228,229,1,1,1,0
242720,228,227,228,1,1,1,0
242729,228,227,228,1,1,1,0
242730,228,227,228,1,1,1,0
242731,228,227,228,1,1,1,0
242746,228,227,228,1,1,1,0
242745,228,227,228,1,1,1,0
242744,228,227,228,1,1,1,0
242743,228,227,228,1,1,1,0
242742,228,227,228,1,1,1,0
242741,228,227,228,1,1,1,0
242740,228,227,228,1,1,1,0
242739,228,227,228,1,1,1,0
242738,228,227,228,1,1,1,0
242737,228,227,228,1,1,1,0
242736,228,227,228,1,1,1,0
242735,228,227,228,1,1,1,0
242734,228,227,228,1,1,1,0
242733,228,227,228,1,1,1,0
242732,228,227,228,1,1,1,0
246618,229,228,229,1,1,1,0
244658,229,228,229,1,1,1,0
242777,228,227,228,1,1,1,0
242779,228,227,228,1,1,1,0
246660,229,228,229,1,1,1,0
246659,229,228,229,1,1,1,0
246658,229,228,229,1,1,1,0
246657,229,228,229,1,1,1,0
246656,229,228,229,1,1,1,0
246655,229,228,229,1,1,1,0
246661,229,228,229,1,1,1,0
246654,229,228,229,1,1,1,0
246652,229,228,229,1,1,1,0
246651,229,228,229,1,1,1,0
246650,229,228,229,1,1,1,0
246649,229,228,229,1,1,1,0
246648,229,228,229,1,1,1,0
246647,229,228,229,1,1,1,0
246653,229,228,229,1,1,1,0
246662,229,228,229,1,1,1,0
246663,229,228,229,1,1,1,0
246664,229,228,229,1,1,1,0
246679,229,228,229,1,1,1,0
246678,229,228,229,1,1,1,0
246677,229,228,229,1,1,1,0
246676,229,228,229,1,1,1,0
246675,229,228,229,1,1,1,0
246674,229,228,229,1,1,1,0
246673,229,228,229,1,1,1,0
246672,229,228,229,1,1,1,0
246671,229,228,229,1,1,1,0
246670,229,228,229,1,1,1,0
246669,229,228,229,1,1,1,0
246668,229,228,229,1,1,1,0
246667,229,228,229,1,1,1,0
246666,229,228,229,1,1,1,0
246665,229,228,229,1,1,1,0
246646,229,228,229,1,1,1,0
242778,228,227,228,1,1,1,0
246645,229,228,229,1,1,1,0
246643,229,228,229,1,1,1,0
242794,228,227,228,1,1,1,0
242793,228,227,228,1,1,1,0
242792,228,227,228,1,1,1,0
242791,228,227,228,1,1,1,0
242790,228,227,228,1,1,1,0
242789,228,227,228,1,1,1,0
242718,228,227,228,1,1,1,0
242788,228,227,228,1,1,1,0
242785,228,227,228,1,1,1,0
242784,228,227,228,1,1,1,0
242783,228,227,228,1,1,1,0
242782,228,227,228,1,1,1,0
242781,228,227,228,1,1,1,0
242780,228,227,228,1,1,1,0
242786,228,227,228,1,1,1,0
242787,228,227,228,1,1,1,0
246625,229,228,229,1,1,1,0
246626,229,228,229,1,1,1,0
246642,229,228,229,1,1,1,0
246641,229,228,229,1,1,1,0
246640,229,228,229,1,1,1,0
246639,229,228,229,1,1,1,0
246638,229,228,229,1,1,1,0
246636,229,228,229,1,1,1,0
246635,229,228,229,1,1,1,0
246634,229,228,229,1,1,1,0
246633,229,228,229,1,1,1,0
246632,229,228,229,1,1,1,0
246631,229,228,229,1,1,1,0
246630,229,228,229,1,1,1,0
246629,229,228,229,1,1,1,0
246628,229,228,229,1,1,1,0
246627,229,228,229,1,1,1,0
246644,229,228,229,1,1,1,0
246296,229,228,229,1,1,1,0
244659,229,228,229,1,1,1,0
244661,229,228,229,1,1,1,0
240437,228,227,228,1,1,1,0
240438,228,227,228,1,1,1,0
240439,228,227,228,1,1,1,0
240440,228,227,228,1,1,1,0
240441,228,227,228,1,1,1,0
240442,228,227,228,1,1,1,0
240436,228,227,228,1,1,1,0
240443,228,227,228,1,1,1,0
240446,228,227,228,1,1,1,0
240447,228,227,228,1,1,1,0
240448,228,227,228,1,1,1,0
240449,228,227,228,1,1,1,0
240450,228,227,228,1,1,1,0
240451,228,227,228,1,1,1,0
240444,228,227,228,1,1,1,0
240435,228,227,228,1,1,1,0
240434,228,227,228,1,1,1,0
240433,228,227,228,1,1,1,0
244738,229,228,229,1,1,1,0
244739,229,228,229,1,1,1,0
244740,229,228,229,1,1,1,0
244685,229,228,229,1,1,1,0
244724,229,228,229,1,1,1,0
240423,228,227,228,1,1,1,0
240424,228,227,228,1,1,1,0
240425,228,227,228,1,1,1,0
240426,228,227,228,1,1,1,0
240427,228,227,228,1,1,1,0
240428,228,227,228,1,1,1,0
240429,228,227,228,1,1,1,0
240430,228,227,228,1,1,1,0
240431,228,227,228,1,1,1,0
240432,228,227,228,1,1,1,0
240452,228,227,228,1,1,1,0
244737,229,228,229,1,1,1,0
240453,228,227,228,1,1,1,0
240455,228,227,228,1,1,1,0
240476,228,227,228,1,1,1,0
240477,228,227,228,1,1,1,0
240478,228,227,228,1,1,1,0
240479,228,227,228,1,1,1,0
240481,228,227,228,1,1,1,0
240482,228,227,228,1,1,1,0
240475,228,227,228,1,1,1,0
240483,228,227,228,1,1,1,0
240467,228,227,228,1,1,1,0
240480,228,227,228,1,1,1,0
246289,229,228,229,1,1,1,0
246290,229,228,229,1,1,1,0
246291,229,228,229,1,1,1,0
246294,229,228,229,1,1,1,0
240445,228,227,228,1,1,1,0
240474,228,227,228,1,1,1,0
240473,228,227,228,1,1,1,0
240472,228,227,228,1,1,1,0
