read_id,observed,expected,read_len,o_minus_e,contaminated,missed_id,false_id
468709,53,304,229,-176,0,0,1
483619,168,306,227,-59,0,0,1
199103,226,225,226,1,1,1,0
200333,229,228,229,1,1,1,0
200332,229,228,229,1,1,1,0
200331,229,228,229,1,1,1,0
200330,229,228,229,1,1,1,0
200334,229,228,229,1,1,1,0
200329,229,228,229,1,1,1,0
200327,229,228,229,1,1,1,0
200326,229,228,229,1,1,1,0
200325,229,228,229,1,1,1,0
200324,229,228,229,1,1,1,0
200323,229,228,229,1,1,1,0
200322,229,228,229,1,1,1,0
200328,229,228,229,1,1,1,0
200335,229,228,229,1,1,1,0
200336,229,228,229,1,1,1,0
200337,229,228,229,1,1,1,0
200338,229,228,229,1,1,1,0
200339,229,228,229,1,1,1,0
200340,229,228,229,1,1,1,0
200341,229,228,229,1,1,1,0
200342,229,228,229,1,1,1,0
200343,229,228,229,1,1,1,0
200344,229,228,229,1,1,1,0
200345,229,228,229,1,1,1,0
200346,229,228,229,1,1,1,0
200347,229,228,229,1,1,1,0
200348,229,228,229,1,1,1,0
200349,229,228,229,1,1,1,0
200321,229,228,229,1,1,1,0
200350,229,228,229,1,1,1,0
200320,229,228,229,1,1,1,0
200317,229,228,229,1,1,1,0
198301,226,225,226,1,1,1,0
198300,226,225,226,1,1,1,0
198299,226,225,226,1,1,1,0
198298,226,225,226,1,1,1,0
198296,226,225,226,1,1,1,0
198294,226,225,226,1,1,1,0
198293,226,225,226,1,1,1,0
198292,226,225,226,1,1,1,0
198291,226,225,226,1,1,1,0
198290,226,225,226,1,1,1,0
198289,226,225,226,1,1,1,0
198288,226,225,226,1,1,1,0
199931,228,227,228,1,1,1,0
200300,229,228,229,1,1,1,0
200319,229,228,229,1,1,1,0
200301,229,228,229,1,1,1,0
200303,229,228,229,1,1,1,0
200304,229,228,229,1,1,1,0
200305,229,228,229,1,1,1,0
200306,229,228,229,1,1,1,0
200307,229,228,229,1,1,1,0
200308,229,228,229,1,1,1,0
200309,229,228,229,1,1,1,0
200310,229,228,229,1,1,1,0
200311,229,228,229,1,1,1,0
200312,229,228,229,1,1,1,0
200313,229,228,229,1,1,1,0
200314,229,228,229,1,1,1,0
200315,229,228,229,1,1,1,0
200316,229,228,229,1,1,1,0
200302,229,228,229,1,1,1,0
200351,229,228,229,1,1,1,0
200352,229,228,229,1,1,1,0
200353,229,228,229,1,1,1,0
200388,229,228,229,1,1,1,0
200389,229,228,229,1,1,1,0
200318,229,228,229,1,1,1,0
197877,226,225,226,1,1,1,0
197855,226,225,226,1,1,1,0
197901,226,225,226,1,1,1,0
197900,226,225,226,1,1,1,0
197899,226,225,226,1,1,1,0
197898,226,225,226,1,1,1,0
197897,226,225,226,1,1,1,0
197896,226,225,226,1,1,1,0
197895,226,225,226,1,1,1,0
197894,226,225,226,1,1,1,0
197893,226,225,226,1,1,1,0
200387,229,228,229,1,1,1,0
197892,226,225,226,1,1,1,0
197890,226,225,226,1,1,1,0
197889,226,225,226,1,1,1,0
197888,226,225,226,1,1,1,0
197887,226,225,226,1,1,1,0
197886,226,225,226,1,1,1,0
197885,226,225,226,1,1,1,0
197884,226,225,226,1,1,1,0
197883,226,225,226,1,1,1,0
197882,226,225,226,1,1,1,0
197881,226,225,226,1,1,1,0
197880,226,225,226,1,1,1,0
197879,226,225,226,1,1,1,0
197878,226,225,226,1,1,1,0
197876,226,225,226,1,1,1,0
197891,226,225,226,1,1,1,0
198302,226,225,226,1,1,1,0
200386,229,228,229,1,1,1,0
200384,229,228,229,1,1,1,0
200354,229,228,229,1,1,1,0
200355,229,228,229,1,1,1,0
200356,229,228,229,1,1,1,0
200357,229,228,229,1,1,1,0
200358,229,228,229,1,1,1,0
200359,229,228,229,1,1,1,0
200360,229,228,229,1,1,1,0
200361,229,228,229,1,1,1,0
200362,229,228,229,1,1,1,0
200363,229,228,229,1,1,1,0
200364,229,228,229,1,1,1,0
200365,229,228,229,1,1,1,0
200366,229,228,229,1,1,1,0
200367,229,228,229,1,1,1,0
200385,229,228,229,1,1,1,0
200368,229,228,229,1,1,1,0
200370,229,228,229,1,1,1,0
200371,229,228,229,1,1,1,0
200372,229,228,229,1,1,1,0
200373,229,228,229,1,1,1,0
200374,229,228,229,1,1,1,0
200375,229,228,229,1,1,1,0
200376,229,228,229,1,1,1,0
200377,229,228,229,1,1,1,0
200378,229,228,229,1,1,1,0
200379,229,228,229,1,1,1,0
200380,229,228,229,1,1,1,0
200381,229,228,229,1,1,1,0
200382,229,228,229,1,1,1,0
200383,229,228,229,1,1,1,0
200369,229,228,229,1,1,1,0
198304,226,225,226,1,1,1,0
198305,226,225,226,1,1,1,0
198306,226,225,226,1,1,1,0
198751,226,225,226,1,1,1,0
198750,226,225,226,1,1,1,0
198749,226,225,226,1,1,1,0
198748,226,225,226,1,1,1,0
198747,226,225,226,1,1,1,0
198746,226,225,226,1,1,1,0
198745,226,225,226,1,1,1,0
198744,226,225,226,1,1,1,0
198743,226,225,226,1,1,1,0
198742,226,225,226,1,1,1,0
198741,226,225,226,1,1,1,0
198740,226,225,226,1,1,1,0
198739,226,225,226,1,1,1,0
198738,226,225,226,1,1,1,0
198736,226,225,226,1,1,1,0
198735,226,225,226,1,1,1,0
198734,226,225,226,1,1,1,0
198733,226,225,226,1,1,1,0
198732,226,225,226,1,1,1,0
198731,226,225,226,1,1,1,0
198730,226,225,226,1,1,1,0
198729,226,225,226,1,1,1,0
198728,226,225,226,1,1,1,0
198727,226,225,226,1,1,1,0
198726,226,225,226,1,1,1,0
198725,226,225,226,1,1,1,0
198724,226,225,226,1,1,1,0
198723,226,225,226,1,1,1,0
198722,226,225,226,1,1,1,0
198753,226,225,226,1,1,1,0
198754,226,225,226,1,1,1,0
198755,226,225,226,1,1,1,0
198756,226,225,226,1,1,1,0
198242,228,227,228,1,1,1,0
198249,228,227,228,1,1,1,0
198274,228,227,228,1,1,1,0
198771,226,225,226,1,1,1,0
198761,226,225,226,1,1,1,0
198752,226,225,226,1,1,1,0
198737,226,225,226,1,1,1,0
198781,226,225,226,1,1,1,0
198780,226,225,226,1,1,1,0
198779,226,225,226,1,1,1,0
198778,226,225,226,1,1,1,0
198777,226,225,226,1,1,1,0
198776,226,225,226,1,1,1,0
198775,226,225,226,1,1,1,0
198721,226,225,226,1,1,1,0
198774,226,225,226,1,1,1,0
198772,226,225,226,1,1,1,0
198770,226,225,226,1,1,1,0
198769,226,225,226,1,1,1,0
198768,226,225,226,1,1,1,0
198767,226,225,226,1,1,1,0
198766,226,225,226,1,1,1,0
198765,226,225,226,1,1,1,0
198764,226,225,226,1,1,1,0
198763,226,225,226,1,1,1,0
198762,226,225,226,1,1,1,0
198760,226,225,226,1,1,1,0
198759,226,225,226,1,1,1,0
198758,226,225,226,1,1,1,0
198757,226,225,226,1,1,1,0
198773,226,225,226,1,1,1,0
198720,226,225,226,1,1,1,0
198719,226,225,226,1,1,1,0
198718,226,225,226,1,1,1,0
198337,226,225,226,1,1,1,0
198336,226,225,226,1,1,1,0
198335,226,225,226,1,1,1,0
198334,226,225,226,1,1,1,0
198333,226,225,226,1,1,1,0
198332,226,225,226,1,1,1,0
198331,226,225,226,1,1,1,0
198330,226,225,226,1,1,1,0
198329,226,225,226,1,1,1,0
198328,226,225,226,1,1,1,0
198327,226,225,226,1,1,1,0
198326,226,225,226,1,1,1,0
198324,226,225,226,1,1,1,0
198323,226,225,226,1,1,1,0
198338,226,225,226,1,1,1,0
198322,226,225,226,1,1,1,0
198320,226,225,226,1,1,1,0
198319,226,225,226,1,1,1,0
198318,226,225,226,1,1,1,0
198317,226,225,226,1,1,1,0
198316,226,225,226,1,1,1,0
198315,226,225,226,1,1,1,0
198314,226,225,226,1,1,1,0
198313,226,225,226,1,1,1,0
198312,226,225,226,1,1,1,0
198311,226,225,226,1,1,1,0
198310,226,225,226,1,1,1,0
198309,226,225,226,1,1,1,0
198308,226,225,226,1,1,1,0
198307,226,225,226,1,1,1,0
198321,226,225,226,1,1,1,0
197875,226,225,226,1,1,1,0
198339,226,225,226,1,1,1,0
198341,226,225,226,1,1,1,0
198717,226,225,226,1,1,1,0
198716,226,225,226,1,1,1,0
198715,226,225,226,1,1,1,0
198714,226,225,226,1,1,1,0
198713,226,225,226,1,1,1,0
198712,226,225,226,1,1,1,0
198711,226,225,226,1,1,1,0
198710,226,225,226,1,1,1,0
198709,226,225,226,1,1,1,0
198708,226,225,226,1,1,1,0
198707,226,225,226,1,1,1,0
198706,226,225,226,1,1,1,0
198705,226,225,226,1,1,1,0
198325,226,225,226,1,1,1,0
198340,226,225,226,1,1,1,0
198303,226,225,226,1,1,1,0
198297,226,225,226,1,1,1,0
198354,226,225,226,1,1,1,0
198353,226,225,226,1,1,1,0
198352,226,225,226,1,1,1,0
198351,226,225,226,1,1,1,0
198350,226,225,226,1,1,1,0
198349,226,225,226,1,1,1,0
198348,226,225,226,1,1,1,0
198347,226,225,226,1,1,1,0
198346,226,225,226,1,1,1,0
198345,226,225,226,1,1,1,0
198344,226,225,226,1,1,1,0
198343,226,225,226,1,1,1,0
198342,226,225,226,1,1,1,0
198295,226,225,226,1,1,1,0
197874,226,225,226,1,1,1,0
197873,226,225,226,1,1,1,0
197872,226,225,226,1,1,1,0
199123,226,225,226,1,1,1,0
199122,226,225,226,1,1,1,0
199121,226,225,226,1,1,1,0
199120,226,225,226,1,1,1,0
199119,226,225,226,1,1,1,0
199118,226,225,226,1,1,1,0
199117,226,225,226,1,1,1,0
199116,226,225,226,1,1,1,0
199115,226,225,226,1,1,1,0
199114,226,225,226,1,1,1,0
199113,226,225,226,1,1,1,0
199112,226,225,226,1,1,1,0
199111,226,225,226,1,1,1,0
199110,226,225,226,1,1,1,0
199109,226,225,226,1,1,1,0
199108,226,225,226,1,1,1,0
199107,226,225,226,1,1,1,0
199106,226,225,226,1,1,1,0
199105,226,225,226,1,1,1,0
199104,226,225,226,1,1,1,0
199102,226,225,226,1,1,1,0
199101,226,225,226,1,1,1,0
199100,226,225,226,1,1,1,0
199099,226,225,226,1,1,1,0
199098,226,225,226,1,1,1,0
199097,226,225,226,1,1,1,0
199096,226,225,226,1,1,1,0
199095,226,225,226,1,1,1,0
199094,226,225,226,1,1,1,0
199125,226,225,226,1,1,1,0
199126,226,225,226,1,1,1,0
199127,226,225,226,1,1,1,0
199128,226,225,226,1,1,1,0
198447,226,225,226,1,1,1,0
198446,226,225,226,1,1,1,0
198445,226,225,226,1,1,1,0
198444,226,225,226,1,1,1,0
198443,226,225,226,1,1,1,0
198441,226,225,226,1,1,1,0
198440,226,225,226,1,1,1,0
199124,226,225,226,1,1,1,0
199150,226,225,226,1,1,1,0
199149,226,225,226,1,1,1,0
199148,226,225,226,1,1,1,0
199147,226,225,226,1,1,1,0
199146,226,225,226,1,1,1,0
199145,226,225,226,1,1,1,0
199093,226,225,226,1,1,1,0
199144,226,225,226,1,1,1,0
199142,226,225,226,1,1,1,0
199141,226,225,226,1,1,1,0
199140,226,225,226,1,1,1,0
199139,226,225,226,1,1,1,0
199138,226,225,226,1,1,1,0
199137,226,225,226,1,1,1,0
199136,226,225,226,1,1,1,0
199135,226,225,226,1,1,1,0
199134,226,225,226,1,1,1,0
199133,226,225,226,1,1,1,0
199132,226,225,226,1,1,1,0
199131,226,225,226,1,1,1,0
199130,226,225,226,1,1,1,0
199129,226,225,226,1,1,1,0
199143,226,225,226,1,1,1,0
199092,226,225,226,1,1,1,0
199091,226,225,226,1,1,1,0
199090,226,225,226,1,1,1,0
200123,228,227,228,1,1,1,0
200124,228,227,228,1,1,1,0
200125,228,227,228,1,1,1,0
200127,228,227,228,1,1,1,0
200128,228,227,228,1,1,1,0
200129,228,227,228,1,1,1,0
200130,228,227,228,1,1,1,0
200131,228,227,228,1,1,1,0
200132,228,227,228,1,1,1,0
200133,228,227,228,1,1,1,0
200134,228,227,228,1,1,1,0
200135,228,227,228,1,1,1,0
200136,228,227,228,1,1,1,0
200138,228,227,228,1,1,1,0
200122,228,227,228,1,1,1,0
200139,228,227,228,1,1,1,0
200141,228,227,228,1,1,1,0
200142,228,227,228,1,1,1,0
200143,228,227,228,1,1,1,0
200144,228,227,228,1,1,1,0
200145,228,227,228,1,1,1,0
200146,228,227,228,1,1,1,0
200147,228,227,228,1,1,1,0
200148,228,227,228,1,1,1,0
200149,228,227,228,1,1,1,0
200150,228,227,228,1,1,1,0
200151,228,227,228,1,1,1,0
200152,228,227,228,1,1,1,0
200153,228,227,228,1,1,1,0
200154,228,227,228,1,1,1,0
200140,228,227,228,1,1,1,0
198448,226,225,226,1,1,1,0
200121,228,227,228,1,1,1,0
200119,228,227,228,1,1,1,0
200085,228,227,228,1,1,1,0
200086,228,227,228,1,1,1,0
200087,228,227,228,1,1,1,0
200088,228,227,228,1,1,1,0
200089,228,227,228,1,1,1,0
200091,228,227,228,1,1,1,0
200092,228,227,228,1,1,1,0
200093,228,227,228,1,1,1,0
200094,228,227,228,1,1,1,0
200095,228,227,228,1,1,1,0
200096,228,227,228,1,1,1,0
200097,228,227,228,1,1,1,0
200099,228,227,228,1,1,1,0
200101,228,227,228,1,1,1,0
200120,228,227,228,1,1,1,0
200102,228,227,228,1,1,1,0
200104,228,227,228,1,1,1,0
200105,228,227,228,1,1,1,0
200106,228,227,228,1,1,1,0
200107,228,227,228,1,1,1,0
200108,228,227,228,1,1,1,0
200110,228,227,228,1,1,1,0
200111,228,227,228,1,1,1,0
200112,228,227,228,1,1,1,0
200113,228,227,228,1,1,1,0
200114,228,227,228,1,1,1,0
200115,228,227,228,1,1,1,0
200116,228,227,228,1,1,1,0
200117,228,227,228,1,1,1,0
200118,228,227,228,1,1,1,0
200103,228,227,228,1,1,1,0
198449,226,225,226,1,1,1,0
198450,226,225,226,1,1,1,0
198451,226,225,226,1,1,1,0
198636,227,226,227,1,1,1,0
198635,227,226,227,1,1,1,0
198634,227,226,227,1,1,1,0
198633,227,226,227,1,1,1,0
198632,227,226,227,1,1,1,0
198631,227,226,227,1,1,1,0
198630,227,226,227,1,1,1,0
198629,227,226,227,1,1,1,0
198628,227,226,227,1,1,1,0
198627,227,226,227,1,1,1,0
198626,227,226,227,1,1,1,0
198625,227,226,227,1,1,1,0
198624,227,226,227,1,1,1,0
198623,227,226,227,1,1,1,0
198637,227,226,227,1,1,1,0
198622,227,226,227,1,1,1,0
198620,227,226,227,1,1,1,0
198619,227,226,227,1,1,1,0
198618,227,226,227,1,1,1,0
198617,227,226,227,1,1,1,0
198616,227,226,227,1,1,1,0
198615,227,226,227,1,1,1,0
198614,227,226,227,1,1,1,0
198613,227,226,227,1,1,1,0
198612,227,226,227,1,1,1,0
198611,227,226,227,1,1,1,0
198610,227,226,227,1,1,1,0
198609,227,226,227,1,1,1,0
198608,227,226,227,1,1,1,0
198607,227,226,227,1,1,1,0
198621,227,226,227,1,1,1,0
198606,227,226,227,1,1,1,0
198638,227,226,227,1,1,1,0
198641,227,226,227,1,1,1,0
197871,226,225,226,1,1,1,0
197870,226,225,226,1,1,1,0
197869,226,225,226,1,1,1,0
197868,226,225,226,1,1,1,0
197867,226,225,226,1,1,1,0
197866,226,225,226,1,1,1,0
197865,226,225,226,1,1,1,0
197864,226,225,226,1,1,1,0
197863,226,225,226,1,1,1,0
197862,226,225,226,1,1,1,0
197861,226,225,226,1,1,1,0
197860,226,225,226,1,1,1,0
197859,226,225,226,1,1,1,0
197858,226,225,226,1,1,1,0
198639,227,226,227,1,1,1,0
197857,226,225,226,1,1,1,0
197854,226,225,226,1,1,1,0
197853,226,225,226,1,1,1,0
197852,226,225,226,1,1,1,0
197851,226,225,226,1,1,1,0
197849,226,225,226,1,1,1,0
197848,226,225,226,1,1,1,0
197847,226,225,226,1,1,1,0
197846,226,225,226,1,1,1,0
197845,226,225,226,1,1,1,0
198640,227,226,227,1,1,1,0
198603,227,226,227,1,1,1,0
198644,227,226,227,1,1,1,0
198643,227,226,227,1,1,1,0
198642,227,226,227,1,1,1,0
197856,226,225,226,1,1,1,0
198222,228,227,228,1,1,1,0
198605,227,226,227,1,1,1,0
198602,227,226,227,1,1,1,0
198482,226,225,226,1,1,1,0
198481,226,225,226,1,1,1,0
198480,226,225,226,1,1,1,0
198479,226,225,226,1,1,1,0
198477,226,225,226,1,1,1,0
198476,226,225,226,1,1,1,0
198475,226,225,226,1,1,1,0
198474,226,225,226,1,1,1,0
198473,226,225,226,1,1,1,0
198472,226,225,226,1,1,1,0
198471,226,225,226,1,1,1,0
198470,226,225,226,1,1,1,0
198469,226,225,226,1,1,1,0
198468,226,225,226,1,1,1,0
198483,226,225,226,1,1,1,0
198467,226,225,226,1,1,1,0
198465,226,225,226,1,1,1,0
198464,226,225,226,1,1,1,0
198463,226,225,226,1,1,1,0
198462,226,225,226,1,1,1,0
198461,226,225,226,1,1,1,0
198460,226,225,226,1,1,1,0
198459,226,225,226,1,1,1,0
198458,226,225,226,1,1,1,0
198457,226,225,226,1,1,1,0
198456,226,225,226,1,1,1,0
198455,226,225,226,1,1,1,0
198454,226,225,226,1,1,1,0
198453,226,225,226,1,1,1,0
198452,226,225,226,1,1,1,0
198466,226,225,226,1,1,1,0
198604,227,226,227,1,1,1,0
198484,226,225,226,1,1,1,0
198486,226,225,226,1,1,1,0
198601,227,226,227,1,1,1,0
198600,227,226,227,1,1,1,0
198599,227,226,227,1,1,1,0
198598,227,226,227,1,1,1,0
198597,227,226,227,1,1,1,0
198596,227,226,227,1,1,1,0
198595,227,226,227,1,1,1,0
198594,227,226,227,1,1,1,0
198593,227,226,227,1,1,1,0
198592,227,226,227,1,1,1,0
198591,227,226,227,1,1,1,0
198500,226,225,226,1,1,1,0
198442,226,225,226,1,1,1,0
198504,226,225,226,1,1,1,0
198485,226,225,226,1,1,1,0
198503,226,225,226,1,1,1,0
198501,226,225,226,1,1,1,0
198499,226,225,226,1,1,1,0
198498,226,225,226,1,1,1,0
198497,226,225,226,1,1,1,0
198496,226,225,226,1,1,1,0
198495,226,225,226,1,1,1,0
198494,226,225,226,1,1,1,0
198493,226,225,226,1,1,1,0
198492,226,225,226,1,1,1,0
198491,226,225,226,1,1,1,0
198490,226,225,226,1,1,1,0
198489,226,225,226,1,1,1,0
198488,226,225,226,1,1,1,0
198487,226,225,226,1,1,1,0
198502,226,225,226,1,1,1,0
198287,228,227,228,1,1,1,0
198286,228,227,228,1,1,1,0
198285,228,227,228,1,1,1,0
199405,229,228,229,1,1,1,0
199406,229,228,229,1,1,1,0
199407,229,228,229,1,1,1,0
199408,229,228,229,1,1,1,0
199409,229,228,229,1,1,1,0
199410,229,228,229,1,1,1,0
199411,229,228,229,1,1,1,0
199412,229,228,229,1,1,1,0
199413,229,228,229,1,1,1,0
199414,229,228,229,1,1,1,0
199415,229,228,229,1,1,1,0
199416,229,228,229,1,1,1,0
199417,229,228,229,1,1,1,0
199418,229,228,229,1,1,1,0
199419,229,228,229,1,1,1,0
199420,229,228,229,1,1,1,0
199421,229,228,229,1,1,1,0
199422,229,228,229,1,1,1,0
199423,229,228,229,1,1,1,0
