read_id,observed,expected,read_len,o_minus_e,contaminated,missed_id,false_id
197947,228,227,228,1,1,1,0
197952,228,227,228,1,1,1,0
197951,228,227,228,1,1,1,0
197950,228,227,228,1,1,1,0
197949,228,227,228,1,1,1,0
197948,228,227,228,1,1,1,0
197946,228,227,228,1,1,1,0
197945,228,227,228,1,1,1,0
197944,228,227,228,1,1,1,0
197943,228,227,228,1,1,1,0
197942,228,227,228,1,1,1,0
197941,228,227,228,1,1,1,0
197940,228,227,228,1,1,1,0
197939,228,227,228,1,1,1,0
197938,228,227,228,1,1,1,0
197937,228,227,228,1,1,1,0
197936,228,227,228,1,1,1,0
197935,228,227,228,1,1,1,0
197934,228,227,228,1,1,1,0
197933,228,227,228,1,1,1,0
197953,228,227,228,1,1,1,0
198621,227,226,227,1,1,1,0
198622,227,226,227,1,1,1,0
197954,228,227,228,1,1,1,0
198643,227,226,227,1,1,1,0
198642,227,226,227,1,1,1,0
198641,227,226,227,1,1,1,0
198639,227,226,227,1,1,1,0
198638,227,226,227,1,1,1,0
198637,227,226,227,1,1,1,0
198636,227,226,227,1,1,1,0
198635,227,226,227,1,1,1,0
198634,227,226,227,1,1,1,0
197932,228,227,228,1,1,1,0
198633,227,226,227,1,1,1,0
198631,227,226,227,1,1,1,0
198630,227,226,227,1,1,1,0
198629,227,226,227,1,1,1,0
198628,227,226,227,1,1,1,0
198627,227,226,227,1,1,1,0
198626,227,226,227,1,1,1,0
198625,227,226,227,1,1,1,0
198624,227,226,227,1,1,1,0
198623,227,226,227,1,1,1,0
198632,227,226,227,1,1,1,0
198644,227,226,227,1,1,1,0
197931,228,227,228,1,1,1,0
197929,228,227,228,1,1,1,0
197904,228,227,228,1,1,1,0
197903,228,227,228,1,1,1,0
197902,228,227,228,1,1,1,0
200232,228,227,228,1,1,1,0
200234,228,227,228,1,1,1,0
200235,228,227,228,1,1,1,0
200237,228,227,228,1,1,1,0
200238,228,227,228,1,1,1,0
200239,228,227,228,1,1,1,0
200240,228,227,228,1,1,1,0
200241,228,227,228,1,1,1,0
198517,227,226,227,1,1,1,0
198516,227,226,227,1,1,1,0
200242,228,227,228,1,1,1,0
200243,228,227,228,1,1,1,0
200244,228,227,228,1,1,1,0
198620,227,226,227,1,1,1,0
198515,227,226,227,1,1,1,0
198514,227,226,227,1,1,1,0
197905,228,227,228,1,1,1,0
197906,228,227,228,1,1,1,0
197907,228,227,228,1,1,1,0
197908,228,227,228,1,1,1,0
197928,228,227,228,1,1,1,0
197927,228,227,228,1,1,1,0
197926,228,227,228,1,1,1,0
197925,228,227,228,1,1,1,0
197924,228,227,228,1,1,1,0
197923,228,227,228,1,1,1,0
197922,228,227,228,1,1,1,0
197921,228,227,228,1,1,1,0
197920,228,227,228,1,1,1,0
197930,228,227,228,1,1,1,0
197919,228,227,228,1,1,1,0
197917,228,227,228,1,1,1,0
197916,228,227,228,1,1,1,0
197915,228,227,228,1,1,1,0
197914,228,227,228,1,1,1,0
197913,228,227,228,1,1,1,0
197912,228,227,228,1,1,1,0
197911,228,227,228,1,1,1,0
197910,228,227,228,1,1,1,0
197909,228,227,228,1,1,1,0
197918,228,227,228,1,1,1,0
198513,227,226,227,1,1,1,0
198603,227,226,227,1,1,1,0
199081,226,225,226,1,1,1,0
199078,226,225,226,1,1,1,0
199079,226,225,226,1,1,1,0
199080,226,225,226,1,1,1,0
199082,226,225,226,1,1,1,0
199960,227,226,227,1,1,1,0
199959,227,226,227,1,1,1,0
199958,227,226,227,1,1,1,0
199957,227,226,227,1,1,1,0
199956,227,226,227,1,1,1,0
199955,227,226,227,1,1,1,0
199954,227,226,227,1,1,1,0
199953,227,226,227,1,1,1,0
199952,227,226,227,1,1,1,0
199951,227,226,227,1,1,1,0
199950,227,226,227,1,1,1,0
199949,227,226,227,1,1,1,0
199948,227,226,227,1,1,1,0
199947,227,226,227,1,1,1,0
199946,227,226,227,1,1,1,0
199077,226,225,226,1,1,1,0
199076,226,225,226,1,1,1,0
199074,226,225,226,1,1,1,0
199073,226,225,226,1,1,1,0
199585,227,226,227,1,1,1,0
199584,227,226,227,1,1,1,0
199583,227,226,227,1,1,1,0
199582,227,226,227,1,1,1,0
199581,227,226,227,1,1,1,0
199580,227,226,227,1,1,1,0
199579,227,226,227,1,1,1,0
199578,227,226,227,1,1,1,0
199577,227,226,227,1,1,1,0
199945,227,226,227,1,1,1,0
199576,227,226,227,1,1,1,0
199063,226,225,226,1,1,1,0
199064,226,225,226,1,1,1,0
199065,226,225,226,1,1,1,0
199066,226,225,226,1,1,1,0
199068,226,225,226,1,1,1,0
199069,226,225,226,1,1,1,0
199070,226,225,226,1,1,1,0
199071,226,225,226,1,1,1,0
199072,226,225,226,1,1,1,0
199575,227,226,227,1,1,1,0
198640,227,226,227,1,1,1,0
199944,227,226,227,1,1,1,0
197862,227,226,227,1,1,1,0
199937,227,226,227,1,1,1,0
199936,227,226,227,1,1,1,0
199935,227,226,227,1,1,1,0
199934,227,226,227,1,1,1,0
199933,227,226,227,1,1,1,0
199932,227,226,227,1,1,1,0
199931,227,226,227,1,1,1,0
199930,227,226,227,1,1,1,0
199084,226,225,226,1,1,1,0
199085,226,225,226,1,1,1,0
199086,226,225,226,1,1,1,0
199087,226,225,226,1,1,1,0
199088,226,225,226,1,1,1,0
199089,226,225,226,1,1,1,0
199015,226,225,226,1,1,1,0
199032,226,225,226,1,1,1,0
199051,226,225,226,1,1,1,0
199067,226,225,226,1,1,1,0
199075,226,225,226,1,1,1,0
198518,227,226,227,1,1,1,0
198519,227,226,227,1,1,1,0
199938,227,226,227,1,1,1,0
199939,227,226,227,1,1,1,0
197861,227,226,227,1,1,1,0
199942,227,226,227,1,1,1,0
198523,227,226,227,1,1,1,0
198522,227,226,227,1,1,1,0
199083,226,225,226,1,1,1,0
197966,228,227,228,1,1,1,0
197965,228,227,228,1,1,1,0
197964,228,227,228,1,1,1,0
197963,228,227,228,1,1,1,0
199943,227,226,227,1,1,1,0
197962,228,227,228,1,1,1,0
197960,228,227,228,1,1,1,0
197959,228,227,228,1,1,1,0
197958,228,227,228,1,1,1,0
197957,228,227,228,1,1,1,0
197956,228,227,228,1,1,1,0
197955,228,227,228,1,1,1,0
198520,227,226,227,1,1,1,0
199941,227,226,227,1,1,1,0
199940,227,226,227,1,1,1,0
197961,228,227,228,1,1,1,0
199586,227,226,227,1,1,1,0
198512,227,226,227,1,1,1,0
198618,227,226,227,1,1,1,0
198472,228,227,228,1,1,1,0
198473,228,227,228,1,1,1,0
198474,228,227,228,1,1,1,0
198475,228,227,228,1,1,1,0
198476,228,227,228,1,1,1,0
198477,228,227,228,1,1,1,0
198479,228,227,228,1,1,1,0
198480,228,227,228,1,1,1,0
198481,228,227,228,1,1,1,0
198482,228,227,228,1,1,1,0
198483,228,227,228,1,1,1,0
198484,228,227,228,1,1,1,0
198485,228,227,228,1,1,1,0
198486,228,227,228,1,1,1,0
198487,228,227,228,1,1,1,0
198488,228,227,228,1,1,1,0
198489,228,227,228,1,1,1,0
198490,228,227,228,1,1,1,0
198491,228,227,228,1,1,1,0
198471,228,227,228,1,1,1,0
198470,228,227,228,1,1,1,0
198469,228,227,228,1,1,1,0
198468,228,227,228,1,1,1,0
198701,228,227,228,1,1,1,0
198682,228,227,228,1,1,1,0
198672,228,227,228,1,1,1,0
198671,228,227,228,1,1,1,0
198668,228,227,228,1,1,1,0
198704,228,227,228,1,1,1,0
198703,228,227,228,1,1,1,0
198702,228,227,228,1,1,1,0
198700,228,227,228,1,1,1,0
198492,228,227,228,1,1,1,0
198699,228,227,228,1,1,1,0
198697,228,227,228,1,1,1,0
198696,228,227,228,1,1,1,0
198695,228,227,228,1,1,1,0
198694,228,227,228,1,1,1,0
198464,228,227,228,1,1,1,0
198693,228,227,228,1,1,1,0
198465,228,227,228,1,1,1,0
198466,228,227,228,1,1,1,0
198467,228,227,228,1,1,1,0
198698,228,227,228,1,1,1,0
199151,227,226,227,1,1,1,0
198493,228,227,228,1,1,1,0
198495,228,227,228,1,1,1,0
200293,228,227,228,1,1,1,0
200292,228,227,228,1,1,1,0
200291,228,227,228,1,1,1,0
200290,228,227,228,1,1,1,0
200289,228,227,228,1,1,1,0
200288,228,227,228,1,1,1,0
200287,228,227,228,1,1,1,0
200286,228,227,228,1,1,1,0
200285,228,227,228,1,1,1,0
200284,228,227,228,1,1,1,0
200282,228,227,228,1,1,1,0
200281,228,227,228,1,1,1,0
198691,228,227,228,1,1,1,0
198690,228,227,228,1,1,1,0
198689,228,227,228,1,1,1,0
198688,228,227,228,1,1,1,0
198687,228,227,228,1,1,1,0
198686,228,227,228,1,1,1,0
198685,228,227,228,1,1,1,0
200294,228,227,228,1,1,1,0
200295,228,227,228,1,1,1,0
200296,228,227,228,1,1,1,0
200297,228,227,228,1,1,1,0
198496,228,227,228,1,1,1,0
198497,228,227,228,1,1,1,0
198498,228,227,228,1,1,1,0
198499,228,227,228,1,1,1,0
198501,228,227,228,1,1,1,0
198502,228,227,228,1,1,1,0
198503,228,227,228,1,1,1,0
198504,228,227,228,1,1,1,0
198442,228,227,228,1,1,1,0
198494,228,227,228,1,1,1,0
198500,228,227,228,1,1,1,0
200269,228,227,228,1,1,1,0
200262,228,227,228,1,1,1,0
200236,228,227,228,1,1,1,0
200283,228,227,228,1,1,1,0
200272,228,227,228,1,1,1,0
200264,228,227,228,1,1,1,0
200233,228,227,228,1,1,1,0
200299,228,227,228,1,1,1,0
200298,228,227,228,1,1,1,0
198692,228,227,228,1,1,1,0
198619,227,226,227,1,1,1,0
199152,227,226,227,1,1,1,0
199154,227,226,227,1,1,1,0
198457,228,227,228,1,1,1,0
198458,228,227,228,1,1,1,0
198459,228,227,228,1,1,1,0
198460,228,227,228,1,1,1,0
198461,228,227,228,1,1,1,0
198462,228,227,228,1,1,1,0
198463,228,227,228,1,1,1,0
199185,227,226,227,1,1,1,0
199214,227,226,227,1,1,1,0
199213,227,226,227,1,1,1,0
199212,227,226,227,1,1,1,0
199211,227,226,227,1,1,1,0
199210,227,226,227,1,1,1,0
199209,227,226,227,1,1,1,0
199208,227,226,227,1,1,1,0
199207,227,226,227,1,1,1,0
199206,227,226,227,1,1,1,0
199205,227,226,227,1,1,1,0
199204,227,226,227,1,1,1,0
198456,228,227,228,1,1,1,0
198455,228,227,228,1,1,1,0
198454,228,227,228,1,1,1,0
198453,228,227,228,1,1,1,0
198617,227,226,227,1,1,1,0
198511,227,226,227,1,1,1,0
198510,227,226,227,1,1,1,0
198509,227,226,227,1,1,1,0
198508,227,226,227,1,1,1,0
198507,227,226,227,1,1,1,0
198506,227,226,227,1,1,1,0
198505,227,226,227,1,1,1,0
198440,228,227,228,1,1,1,0
199203,227,226,227,1,1,1,0
198441,228,227,228,1,1,1,0
198444,228,227,228,1,1,1,0
198445,228,227,228,1,1,1,0
198446,228,227,228,1,1,1,0
198447,228,227,228,1,1,1,0
198448,228,227,228,1,1,1,0
198449,228,227,228,1,1,1,0
198450,228,227,228,1,1,1,0
198451,228,227,228,1,1,1,0
198452,228,227,228,1,1,1,0
198443,228,227,228,1,1,1,0
199153,227,226,227,1,1,1,0
199202,227,226,227,1,1,1,0
199200,227,226,227,1,1,1,0
199174,227,226,227,1,1,1,0
199173,227,226,227,1,1,1,0
199172,227,226,227,1,1,1,0
199171,227,226,227,1,1,1,0
199170,227,226,227,1,1,1,0
199169,227,226,227,1,1,1,0
199168,227,226,227,1,1,1,0
199167,227,226,227,1,1,1,0
199166,227,226,227,1,1,1,0
199165,227,226,227,1,1,1,0
199164,227,226,227,1,1,1,0
199163,227,226,227,1,1,1,0
199162,227,226,227,1,1,1,0
199161,227,226,227,1,1,1,0
199159,227,226,227,1,1,1,0
199158,227,226,227,1,1,1,0
199157,227,226,227,1,1,1,0
199156,227,226,227,1,1,1,0
199155,227,226,227,1,1,1,0
199175,227,226,227,1,1,1,0
199176,227,226,227,1,1,1,0
199177,227,226,227,1,1,1,0
199178,227,226,227,1,1,1,0
199199,227,226,227,1,1,1,0
199198,227,226,227,1,1,1,0
199197,227,226,227,1,1,1,0
199196,227,226,227,1,1,1,0
199195,227,226,227,1,1,1,0
199194,227,226,227,1,1,1,0
199193,227,226,227,1,1,1,0
199192,227,226,227,1,1,1,0
199191,227,226,227,1,1,1,0
199201,227,226,227,1,1,1,0
199190,227,226,227,1,1,1,0
199188,227,226,227,1,1,1,0
199187,227,226,227,1,1,1,0
199186,227,226,227,1,1,1,0
199184,227,226,227,1,1,1,0
199183,227,226,227,1,1,1,0
199182,227,226,227,1,1,1,0
199181,227,226,227,1,1,1,0
199180,227,226,227,1,1,1,0
199179,227,226,227,1,1,1,0
199189,227,226,227,1,1,1,0
198684,228,227,228,1,1,1,0
199587,227,226,227,1,1,1,0
199589,227,226,227,1,1,1,0
199021,226,225,226,1,1,1,0
199022,226,225,226,1,1,1,0
199023,226,225,226,1,1,1,0
199024,226,225,226,1,1,1,0
199025,226,225,226,1,1,1,0
199026,226,225,226,1,1,1,0
199027,226,225,226,1,1,1,0
199028,226,225,226,1,1,1,0
199029,226,225,226,1,1,1,0
199030,226,225,226,1,1,1,0
199031,226,225,226,1,1,1,0
199033,226,225,226,1,1,1,0
199034,226,225,226,1,1,1,0
199035,226,225,226,1,1,1,0
199036,226,225,226,1,1,1,0
199037,226,225,226,1,1,1,0
199038,226,225,226,1,1,1,0
199039,226,225,226,1,1,1,0
199040,226,225,226,1,1,1,0
199020,226,225,226,1,1,1,0
199019,226,225,226,1,1,1,0
199018,226,225,226,1,1,1,0
199017,226,225,226,1,1,1,0
198430,228,227,228,1,1,1,0
198431,228,227,228,1,1,1,0
198432,228,227,228,1,1,1,0
198433,228,227,228,1,1,1,0
198434,228,227,228,1,1,1,0
198435,228,227,228,1,1,1,0
198437,228,227,228,1,1,1,0
198438,228,227,228,1,1,1,0
198439,228,227,228,1,1,1,0
199041,226,225,226,1,1,1,0
198360,228,227,228,1,1,1,0
198428,228,227,228,1,1,1,0
198436,228,227,228,1,1,1,0
199009,226,225,226,1,1,1,0
199010,226,225,226,1,1,1,0
199011,226,225,226,1,1,1,0
199012,226,225,226,1,1,1,0
199013,226,225,226,1,1,1,0
199014,226,225,226,1,1,1,0
199016,226,225,226,1,1,1,0
198406,228,227,228,1,1,1,0
198429,228,227,228,1,1,1,0
199042,226,225,226,1,1,1,0
199044,226,225,226,1,1,1,0
199634,227,226,227,1,1,1,0
199633,227,226,227,1,1,1,0
199632,227,226,227,1,1,1,0
199631,227,226,227,1,1,1,0
199630,227,226,227,1,1,1,0
199629,227,226,227,1,1,1,0
199627,227,226,227,1,1,1,0
200373,227,226,227,1,1,1,0
200374,227,226,227,1,1,1,0
200375,227,226,227,1,1,1,0
200376,227,226,227,1,1,1,0
197900,227,226,227,1,1,1,0
200535,229,228,229,1,1,1,0
200536,229,228,229,1,1,1,0
200537,229,228,229,1,1,1,0
200538,229,228,229,1,1,1,0
200539,229,228,229,1,1,1,0
200540,229,228,229,1,1,1,0
200377,227,226,227,1,1,1,0
199062,226,225,226,1,1,1,0
199061,226,225,226,1,1,1,0
199060,226,225,226,1,1,1,0
199059,226,225,226,1,1,1,0
200208,229,228,229,1,1,1,0
199045,226,225,226,1,1,1,0
200221,229,228,229,1,1,1,0
199046,226,225,226,1,1,1,0
199047,226,225,226,1,1,1,0
199048,226,225,226,1,1,1,0
199049,226,225,226,1,1,1,0
199050,226,225,226,1,1,1,0
199052,226,225,226,1,1,1,0
199043,226,225,226,1,1,1,0
199053,226,225,226,1,1,1,0
199613,227,226,227,1,1,1,0
199628,227,226,227,1,1,1,0
199605,227,226,227,1,1,1,0
199636,227,226,227,1,1,1,0
199635,227,226,227,1,1,1,0
199055,226,225,226,1,1,1,0
199056,226,225,226,1,1,1,0
199057,226,225,226,1,1,1,0
199058,226,225,226,1,1,1,0
199054,226,225,226,1,1,1,0
200378,227,226,227,1,1,1,0
198427,228,227,228,1,1,1,0
198425,228,227,228,1,1,1,0
198356,228,227,228,1,1,1,0
198357,228,227,228,1,1,1,0
198358,228,227,228,1,1,1,0
198359,228,227,228,1,1,1,0
198361,228,227,228,1,1,1,0
198362,228,227,228,1,1,1,0
198363,228,227,228,1,1,1,0
198364,228,227,228,1,1,1,0
198365,228,227,228,1,1,1,0
198366,228,227,228,1,1,1,0
198367,228,227,228,1,1,1,0
198368,228,227,228,1,1,1,0
198369,228,227,228,1,1,1,0
198370,228,227,228,1,1,1,0
