"call","position","mismatch","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean","reads","mean_match_and_miss","reads_match_and_miss","empirical_qscore","group"
"miss",1,1,0,0,249,0,0,0,0,0,0,0,0,0,0,388926,0,0,0,0,0,0,0,0,0,0,0,0,0,135451,0,0,0,0,48051,0,0,0,0,0,94155,0,16649,21.2078975128789,683481,36.9550310227901,136137497,22.992513153048,"HiSeq2500 Rapid-Run"
"miss",2,1,0,0,107,0,0,0,0,0,0,0,0,0,0,276740,0,0,0,0,0,0,0,0,0,0,0,0,0,49990,0,0,0,0,12168,0,0,0,0,0,38092,0,21779,19.1929221111323,398876,37.4885666878391,136137497,25.3313985548161,"HiSeq2500 Rapid-Run"
"miss",3,1,0,0,115,0,0,0,0,0,0,0,0,0,0,145326,0,0,0,0,0,0,0,0,0,0,0,0,0,30078,0,0,0,0,13025,0,0,0,0,0,37928,0,25577,22.1493360418014,252049,37.7795629957851,136137497,27.3249278275844,"HiSeq2500 Rapid-Run"
"miss",4,1,0,0,491,0,0,0,0,0,0,0,0,0,0,129224,0,0,0,0,0,0,0,0,0,0,0,0,0,25120,0,0,0,0,10417,0,0,0,0,0,30912,0,22112,21.7688339533435,218276,37.7895262978135,136137497,27.9497177492626,"HiSeq2500 Rapid-Run"
"miss",5,1,0,0,194,0,0,0,0,0,0,0,0,0,0,289565,0,0,0,0,0,0,0,0,0,0,0,0,0,143398,0,0,0,0,45293,0,0,0,0,0,92277,0,26563,22.8614257730751,597290,37.8516286001644,136137497,23.5779251775475,"HiSeq2500 Rapid-Run"
"miss",6,1,0,0,872,0,0,0,0,0,0,0,0,0,0,214275,0,0,0,0,0,0,0,0,0,0,0,0,0,39825,0,0,0,0,12546,0,0,0,0,0,44086,0,35112,21.1810646177275,346716,37.8999887811952,136137497,25.9400387785278,"HiSeq2500 Rapid-Run"
"miss",7,1,0,0,6920,0,0,0,0,0,0,0,0,0,0,284803,0,0,0,0,0,0,0,0,0,0,0,0,0,70686,0,0,0,0,27571,0,0,0,0,0,57289,0,39643,21.0916448968191,486912,37.698324269032,119415529,23.8961032895112,"HiSeq2500 Rapid-Run"
"miss",8,1,0,0,151,0,0,0,0,0,0,0,0,0,0,162445,0,0,0,0,0,0,0,0,0,0,0,0,0,35200,0,0,0,0,17855,0,0,0,0,0,49783,0,45027,23.5993603061254,310461,37.7983263344474,77796905,23.9895526774284,"HiSeq2500 Rapid-Run"
"miss",9,1,0,0,4,0,0,0,0,0,0,0,0,0,0,7447,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,240,0,0,0,0,0,886,0,308,17.7874291602267,9705,37.7508597413671,7424035,28.8364447093672,"HiSeq2500 Rapid-Run"
"miss",1,2,0,0,263,0,0,0,0,0,0,0,0,0,0,529902,0,0,0,0,0,0,0,0,0,0,0,0,0,211624,0,0,0,0,97931,0,0,0,0,0,380267,0,119228,26.1019761576745,1339215,36.8877630402621,138494245,20.1458142203924,"HiSeq2500 Rapid-Run"
"miss",2,2,0,0,109,0,0,0,0,0,0,0,0,0,0,408453,0,0,0,0,0,0,0,0,0,0,0,0,0,102283,0,0,0,0,52163,0,0,0,0,0,299773,0,171886,27.0693643462099,1034667,37.4144088297676,138494245,21.2663112928978,"HiSeq2500 Rapid-Run"
"miss",3,2,0,0,115,0,0,0,0,0,0,0,0,0,0,252082,0,0,0,0,0,0,0,0,0,0,0,0,0,89934,0,0,0,0,49840,0,0,0,0,0,278491,0,205466,29.7989012795572,875928,37.7068386054597,138494245,21.9896331780651,"HiSeq2500 Rapid-Run"
