uniq sampled rep
2064877 7823601 1
2065304 7823601 2
2065989 7823601 3
3549771 15647202 1
3551472 15647202 2
3549385 15647202 3
4917258 23470803 1
4920565 23470803 2
4921355 23470803 3
6216804 31294404 1
6221906 31294404 2
6219078 31294404 3
7471428 39118005 1
7470914 39118005 2
7471777 39118005 3
8679852 46941606 1
8686593 46941606 2
8683873 46941606 3
9864484 54765207 1
9866273 54765207 2
9866998 54765207 3
11015533 62588808 1
11019295 62588808 2
11018136 62588808 3
12141453 70412409 1
12143764 70412409 2
12145314 70412409 3
13256048 78236010 1
13251042 78236010 2
13256058 78236010 3
14340887 86059611 1
14337902 86059611 2
14342730 86059611 3
15407438 93883212 1
15409408 93883212 2
15408834 93883212 3
16462253 101706813 1
16460444 101706813 2
16461399 101706813 3
17501279 109530414 1
17500182 109530414 2
17502114 109530414 3
18525125 117354015 1
18523309 117354015 2
18523801 117354015 3
19532969 125177616 1
19534730 125177616 2
19534956 125177616 3
20533441 133001217 1
20533609 133001217 2
20534925 133001217 3
21522551 140824818 1
21519952 140824818 2
21521241 140824818 3
22498315 148648419 1
22497116 148648419 2
22497643 148648419 3
