uniq sampled rep
38439 41763 1
38379 41763 2
38367 41763 3
74592 83526 1
74760 83526 2
74578 83526 3
109717 125289 1
109623 125289 2
109679 125289 3
143643 167052 1
143338 167052 2
143554 167052 3
176543 208815 1
176426 208815 2
176324 208815 3
208360 250578 1
208703 250578 2
208646 250578 3
240302 292341 1
240245 292341 2
240500 292341 3
271450 334104 1
271580 334104 2
271615 334104 3
301859 375867 1
302109 375867 2
301910 375867 3
332022 417630 1
332473 417630 2
332178 417630 3
361794 459393 1
361730 459393 2
362042 459393 3
391434 501156 1
391226 501156 2
391281 501156 3
420488 542919 1
420280 542919 2
420624 542919 3
449043 584682 1
449231 584682 2
448887 584682 3
477758 626445 1
477835 626445 2
477851 626445 3
505924 668208 1
505649 668208 2
505889 668208 3
533957 709971 1
533809 709971 2
533689 709971 3
561460 751734 1
561636 751734 2
561903 751734 3
589207 793497 1
589009 793497 2
589109 793497 3
