uniq sampled rep percent
14607308 47123027 1 0.05
14608050 47111517 2 0.05
14601037 47115359 3 0.05
26423802 94245372 1 0.1
26424035 94238501 2 0.1
26426333 94237447 3 0.1
37394808 141358425 1 0.15
37390191 141353174 2 0.15
37385738 141347348 3 0.15
47802586 188488905 1 0.2
47808186 188469359 2 0.2
47800796 188469269 3 0.2
57815379 235595038 1 0.25
57813326 235602453 2 0.25
57809292 235599092 3 0.25
67480607 282713941 1 0.3
67489915 282721330 2 0.3
67490418 282718755 3 0.3
76889507 329829240 1 0.35
76899255 329823543 2 0.35
76898301 329826104 3 0.35
86075433 376940209 1 0.4
86077060 376947450 2 0.4
86068500 376941800 3 0.4
95052610 424062520 1 0.45
95059134 424069507 2 0.45
95060813 424056432 3 0.45
103862296 471180377 1 0.5
103880070 471197061 2 0.5
103882719 471201770 3 0.5
112544628 518319218 1 0.55
112536576 518306341 2 0.55
112533606 518293744 3 0.55
121074222 565436252 1 0.6
121089692 565441309 2 0.6
121068579 565430482 3 0.6
129484849 612545562 1 0.65
129479282 612535409 2 0.65
129473993 612547535 3 0.65
137782248 659677023 1 0.7
137787626 659666697 2 0.7
137773600 659661787 3 0.7
145996742 706791214 1 0.75
145985147 706791705 2 0.75
145989705 706789757 3 0.75
154098504 753909062 1 0.8
154103008 753888944 2 0.8
154109223 753900993 3 0.8
162135911 801026245 1 0.85
162135931 801028141 2 0.85
162132984 801021507 3 0.85
170080767 848137808 1 0.9
170082927 848148005 2 0.9
170084381 848136477 3 0.9
177970257 895265206 1 0.95
177972779 895266357 2 0.95
177966425 895268404 3 0.95
