id,dataset,tool1,tool2,read,unique,total,percent_unique,group,subgroup,percent_compression,percent_sampled,total_reads,q,p,label
1,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,10,q5_p10
2,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,10,q5_p10
3,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,10,q5_p10
4,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,10,q5_p10
5,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,10,q5_p10
6,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,10,q5_p10
7,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,10,q10_p10
8,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,10,q10_p10
9,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,10,q10_p10
10,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,10,q10_p10
11,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,10,q10_p10
12,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,10,q10_p10
13,miseq,pass,,R1,612851,835261,73.37,pass_15,permutation,26.63,100.00,835261,15,10,q15_p10
14,miseq,fail,,R1,0,0,0.00,fail_15,permutation,0.00,0.00,835261,15,10,q15_p10
15,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_15,permutation,28.43,92.46,835261,15,10,q15_p10
16,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_15,permutation,4.53,7.54,835261,15,10,q15_p10
17,miseq,fail,pass,R1,0,0,0.00,fail_motif_15,permutation,0.00,0.00,835261,15,10,q15_p10
18,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_15,permutation,0.00,0.00,835261,15,10,q15_p10
19,miseq,pass,,R1,612851,835261,73.37,pass_20,permutation,26.63,100.00,835261,20,10,q20_p10
20,miseq,fail,,R1,0,0,0.00,fail_20,permutation,0.00,0.00,835261,20,10,q20_p10
21,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_20,permutation,28.43,92.46,835261,20,10,q20_p10
22,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_20,permutation,4.53,7.54,835261,20,10,q20_p10
