id,dataset,tool1,tool2,read,unique,total,percent_unique,old_group,group,subgroup,label,percent_compression,percent_sampled,total_reads,percent_unique_sample1,percent_unique_sample2,percent_unique_sample3,sample_mean,sample_sd,change_percent_compression,rm_motif_unique,rm_motif_percent_compression,
1,miseq,subsampling,,R1,38385,41763,91.91,subsampling,subsampling,1,,8.09,5,835261,,,,,,,,,
2,miseq,subsampling,,R1,38438,41763,92.04,subsampling,subsampling,2,,7.96,5,835261,,,,,,,,,
3,miseq,subsampling,,R1,38422,41763,92.00,subsampling,subsampling,3,,8.00,5,835261,,,,,,,,,
4,miseq,subsampling,,R1,74532,83526,89.23,subsampling,subsampling,1,,10.77,10,835261,,,,,,,,,
5,miseq,subsampling,,R1,74567,83526,89.27,subsampling,subsampling,2,,10.73,10,835261,,,,,,,,,
6,miseq,subsampling,,R1,74606,83526,89.32,subsampling,subsampling,3,,10.68,10,835261,,,,,,,,,
7,miseq,subsampling,,R1,109274,125289,87.22,subsampling,subsampling,1,,12.78,15,835261,,,,,,,,,
8,miseq,subsampling,,R1,109186,125289,87.15,subsampling,subsampling,2,,12.85,15,835261,,,,,,,,,
9,miseq,subsampling,,R1,109437,125289,87.35,subsampling,subsampling,3,,12.65,15,835261,,,,,,,,,
10,miseq,subsampling,,R1,143020,167052,85.61,subsampling,subsampling,1,,14.39,20,835261,,,,,,,,,
11,miseq,subsampling,,R1,143035,167052,85.62,subsampling,subsampling,2,,14.38,20,835261,,,,,,,,,
12,miseq,subsampling,,R1,143027,167052,85.62,subsampling,subsampling,3,,14.38,20,835261,,,,,,,,,
13,miseq,subsampling,,R1,175615,208815,84.10,subsampling,subsampling,1,,15.90,25,835261,,,,,,,,,
14,miseq,subsampling,,R1,175845,208815,84.21,subsampling,subsampling,2,,15.79,25,835261,,,,,,,,,
15,miseq,subsampling,,R1,175845,208815,84.21,subsampling,subsampling,3,,15.79,25,835261,,,,,,,,,
16,miseq,subsampling,,R1,208105,250578,83.05,subsampling,subsampling,1,,16.95,30,835261,,,,,,,,,
17,miseq,subsampling,,R1,207872,250578,82.96,subsampling,subsampling,2,,17.04,30,835261,,,,,,,,,
18,miseq,subsampling,,R1,207966,250578,82.99,subsampling,subsampling,3,,17.01,30,835261,,,,,,,,,
19,miseq,subsampling,,R1,239453,292341,81.91,subsampling,subsampling,1,,18.09,35,835261,,,,,,,,,
20,miseq,subsampling,,R1,239382,292341,81.88,subsampling,subsampling,2,,18.12,35,835261,,,,,,,,,
21,miseq,subsampling,,R1,239274,292341,81.85,subsampling,subsampling,3,,18.15,35,835261,,,,,,,,,
22,miseq,subsampling,,R1,270459,334104,80.95,subsampling,subsampling,1,,19.05,40,835261,,,,,,,,,
23,miseq,subsampling,,R1,269977,334104,80.81,subsampling,subsampling,2,,19.19,40,835261,,,,,,,,,
24,miseq,subsampling,,R1,270107,334104,80.85,subsampling,subsampling,3,,19.15,40,835261,,,,,,,,,
25,miseq,subsampling,,R1,300678,375867,80.00,subsampling,subsampling,1,,20.00,45,835261,,,,,,,,,
26,miseq,subsampling,,R1,300757,375867,80.02,subsampling,subsampling,2,,19.98,45,835261,,,,,,,,,
27,miseq,subsampling,,R1,300545,375867,79.96,subsampling,subsampling,3,,20.04,45,835261,,,,,,,,,
28,miseq,subsampling,,R1,330632,417630,79.17,subsampling,subsampling,1,,20.83,50,835261,,,,,,,,,
29,miseq,subsampling,,R1,330341,417630,79.10,subsampling,subsampling,2,,20.90,50,835261,,,,,,,,,
30,miseq,subsampling,,R1,330180,417630,79.06,subsampling,subsampling,3,,20.94,50,835261,,,,,,,,,
31,miseq,subsampling,,R1,359638,459393,78.29,subsampling,subsampling,1,,21.71,55,835261,,,,,,,,,
32,miseq,subsampling,,R1,360188,459393,78.41,subsampling,subsampling,2,,21.59,55,835261,,,,,,,,,
33,miseq,subsampling,,R1,359690,459393,78.30,subsampling,subsampling,3,,21.70,55,835261,,,,,,,,,
34,miseq,subsampling,,R1,389573,501156,77.73,subsampling,subsampling,1,,22.27,60,835261,,,,,,,,,
35,miseq,subsampling,,R1,389524,501156,77.73,subsampling,subsampling,2,,22.27,60,835261,,,,,,,,,
36,miseq,subsampling,,R1,389189,501156,77.66,subsampling,subsampling,3,,22.34,60,835261,,,,,,,,,
37,miseq,subsampling,,R1,418259,542919,77.04,subsampling,subsampling,1,,22.96,65,835261,,,,,,,,,
38,miseq,subsampling,,R1,418292,542919,77.05,subsampling,subsampling,2,,22.95,65,835261,,,,,,,,,
39,miseq,subsampling,,R1,417971,542919,76.99,subsampling,subsampling,3,,23.01,65,835261,,,,,,,,,
40,miseq,subsampling,,R1,446676,584682,76.40,subsampling,subsampling,1,,23.60,70,835261,,,,,,,,,
41,miseq,subsampling,,R1,446627,584682,76.39,subsampling,subsampling,2,,23.61,70,835261,,,,,,,,,
42,miseq,subsampling,,R1,446484,584682,76.36,subsampling,subsampling,3,,23.64,70,835261,,,,,,,,,
43,miseq,subsampling,,R1,474955,626445,75.82,subsampling,subsampling,1,,24.18,75,835261,,,,,,,,,
44,miseq,subsampling,,R1,475014,626445,75.83,subsampling,subsampling,2,,24.17,75,835261,,,,,,,,,
45,miseq,subsampling,,R1,475197,626445,75.86,subsampling,subsampling,3,,24.14,75,835261,,,,,,,,,
46,miseq,subsampling,,R1,503020,668208,75.28,subsampling,subsampling,1,,24.72,80,835261,,,,,,,,,
47,miseq,subsampling,,R1,502841,668208,75.25,subsampling,subsampling,2,,24.75,80,835261,,,,,,,,,
48,miseq,subsampling,,R1,502953,668208,75.27,subsampling,subsampling,3,,24.73,80,835261,,,,,,,,,
49,miseq,subsampling,,R1,530834,709971,74.77,subsampling,subsampling,1,,25.23,85,835261,,,,,,,,,
50,miseq,subsampling,,R1,530953,709971,74.79,subsampling,subsampling,2,,25.21,85,835261,,,,,,,,,
51,miseq,subsampling,,R1,530728,709971,74.75,subsampling,subsampling,3,,25.25,85,835261,,,,,,,,,
52,miseq,subsampling,,R1,558482,751734,74.29,subsampling,subsampling,1,,25.71,90,835261,,,,,,,,,
53,miseq,subsampling,,R1,558337,751734,74.27,subsampling,subsampling,2,,25.73,90,835261,,,,,,,,,
54,miseq,subsampling,,R1,558490,751734,74.29,subsampling,subsampling,3,,25.71,90,835261,,,,,,,,,
55,miseq,subsampling,,R1,585634,793497,73.80,subsampling,subsampling,1,,26.20,95,835261,,,,,,,,,
56,miseq,subsampling,,R1,585605,793497,73.80,subsampling,subsampling,2,,26.20,95,835261,,,,,,,,,
57,miseq,subsampling,,R1,585610,793497,73.80,subsampling,subsampling,3,,26.20,95,835261,,,,,,,,,
58,miseq,,,R1,612851,835261,73.37,subsampling,subsampling,raw,,26.63,100,835261,,,,,,,,,
59,miseq,pass,,R1,552638,772195,71.57,motif,pass motif,rotifer_uniq,,28.43,92,835261,571900,571782,571739,571807,68.0636956583072,2.48240405597032,,,
60,miseq,fail,,R1,60213,63066,95.48,no_motif,fail motif,rotifer_uniq,,4.52,8,835261,57033,57017,57020,57023.3333333333,6.94422221866655,-5.05766445734098,60132,4.65226905146989,-4.92922758168691
61,miseq,pass,,R1,612850,835260,73.37,pass,pass q30,q30p10_krill,p10,26.63,100,835261,612850,612850,612850,612850,0,0,,,
62,miseq,fail,,R1,1,1,100.00,fail,fail q30,q30p10_krill,p10,0.00,0,835261,1,1,1,1,0,0,,,
63,miseq,pass,pass,R1,552706,772263,71.57,pass_motif,pass q30 pass motif,q30p10_krill_rotifer,,28.43,92,835261,571738,571897,571894,571843,74.2563128629479,2.47804180700098,,,
64,miseq,pass,fail,R1,60144,62997,95.47,pass_no_motif,pass q30 fail motif,q30p10_krill_rotifer,,4.53,8,835261,56961,56865,57002,56942.6666666667,57.412735714493,-5.08172346831331,,,
65,miseq,fail,pass,R1,0,0,,fail_motif,fail q30 pass motif,q30p10_krill_rotifer,,,0,835261,0,0,0,0,0,,,,
66,miseq,fail,fail,R1,1,1,100.00,fail_no_motif,fail q30 fail motif,q30p10_krill_rotifer,,0.00,0,835261,1,1,1,1,0,0,,,
67,miseq,pass,,R1,612732,835142,73.37,pass,pass q30,q30p20_krill,p20,26.63,100,835261,612784,612776,612774,612778,4.32049379893857,0.005508045338398,,,
68,miseq,fail,,R1,119,119,100.00,fail,fail q30,q30p20_krill,p20,0.00,0,835261,118,119,119,118.666666666667,0.471404520791032,-0.280112044817923,,,
69,miseq,pass,pass,R1,552607,772164,71.57,pass_motif,pass q30 pass motif,q30p20_krill_rotifer,,28.43,92,835261,572031,571579,572013,571874.333333333,208.961453117289,2.49523848992356,,,
70,miseq,pass,fail,R1,60125,62978,95.47,pass_no_motif,pass q30 fail motif,q30p20_krill_rotifer,,4.53,8,835261,56935,57112,56966,57004.3333333333,77.1765652398591,-4.95516953010046,,,
71,miseq,fail,pass,R1,99,99,100.00,fail_motif,fail q30 pass motif,q30p20_krill_rotifer,,0.00,0,835261,98,99,98,98.3333333333333,0.471404520791032,-0.673400673400678,,,
72,miseq,fail,fail,R1,20,20,100.00,fail_no_motif,fail q30 fail motif,q30p20_krill_rotifer,,0.00,0,835261,20,20,20,20,0,0,,,
73,miseq,pass,,R1,611645,834054,73.33,pass,pass q30,q30p30_krill,p30,26.67,100,835261,612073,612094,612076,612081,9.2736184954957,0.052274792759222,,,
74,miseq,fail,,R1,1207,1207,100.00,fail,fail q30,q30p30_krill,p30,0.00,0,835261,1180,1178,1186,1181.33333333333,3.39934634239519,-2.12648439657554,,,
75,miseq,pass,pass,R1,551630,771186,71.53,pass_motif,pass q30 pass motif,q30p30_krill_rotifer,,28.47,92,835261,571308,571171,571072,571183.666666667,96.7620219346872,2.53553185180574,,,
76,miseq,pass,fail,R1,60015,62868,95.46,pass_no_motif,pass q30 fail motif,q30p30_krill_rotifer,,4.54,8,835261,56949,56900,56940,56929.6666666667,21.2968437932844,-4.90763716570169,,,
77,miseq,fail,pass,R1,1077,1077,100.00,fail_motif,fail q30 pass motif,q30p30_krill_rotifer,,0.00,0,835261,1050,1055,1042,1049,5.35412613473634,-2.59981429897864,,,
78,miseq,fail,fail,R1,130,130,100.00,fail_no_motif,fail q30 fail motif,q30p30_krill_rotifer,,0.00,0,835261,128,128,128,128,0,-1.53846153846154,,,
79,miseq,pass,,R1,608226,830632,73.22,pass,pass q30,q30p40_krill,p40,26.78,99,835261,609821,609802,609846,609823,18.0185090023194,0.192263240520471,,,
80,miseq,fail,,R1,4629,4629,100.00,fail,fail q30,q30p40_krill,p40,0.00,1,835261,4477,4455,4479,4470.33333333333,10.8730042868667,-3.42766616259812,,,
81,miseq,pass,pass,R1,548577,768130,71.42,pass_motif,pass q30 pass motif,q30p40_krill_rotifer,,28.58,92,835261,569097,569023,569200,569106.666666667,72.5825200872925,2.67268127356914,,,
82,miseq,pass,fail,R1,59649,62502,95.44,pass_no_motif,pass q30 fail motif,q30p40_krill_rotifer,,4.56,7,835261,56614,56555,56464,56544.3333333333,61.6999909958574,-4.96730771281985,,,
